Column,Classification,Frequency,Example_Files,Schema_Status,Schema_Match
id,Synapse Platform Generated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),Id
dataSubtype,Evaluate,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),DataSubtype
dataType,Evaluate,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),DataType
fileFormat,Evaluate,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),FileFormat
individualID,Evaluate,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),IndividualID
resourceType,Evaluate,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),ResourceType
specimenID,Evaluate,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),SpecimenID
studyId,Evaluate,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),StudyId
tumorType,Evaluate,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),TumorType
nf1Genotype,Evaluate,36,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),Nf1Genotype
nf2Genotype,Evaluate,36,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),Nf2Genotype
cellType,Evaluate,32,"nf_10.csv, nf_11.csv, nf_12.csv",Found (Case Insensitive),CellType
runType,Evaluate,26,"nf_12.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),RunType
parentId,Synapse Platform Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),ParentId
createdOn,Synapse Platform Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),CreatedOn
createdBy,Synapse Platform Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),CreatedBy
etag,Synapse Platform Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),Etag
type,Synapse Platform Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),Type
benefactorId,Synapse Platform Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),BenefactorId
currentVersion,Synapse Platform Generated,24,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),CurrentVersion
modifiedBy,Evaluate,23,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),ModifiedBy
dataFileHandleId,Synapse Platform Generated,23,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),DataFileHandleId
diagnosis,Evaluate,22,"nf_10.csv, nf_11.csv, nf_17.csv",Found (Case Insensitive),Diagnosis
readLength,Evaluate,22,"nf_12.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),ReadLength
studyName,Evaluate,21,"nf_2.csv, nf_21.csv, nf_22.csv",Found (Case Insensitive),StudyName
platform,Evaluate,20,"nf_12.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),Platform
readPairOrientation,Evaluate,20,"nf_12.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),ReadPairOrientation
experimentalCondition,Evaluate,20,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),ExperimentalCondition
transplantationType,Evaluate,17,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),TransplantationType
parentSpecimenID,Evaluate,15,"nf_1.csv, nf_2.csv, nf_3.csv",Found (Case Insensitive),ParentSpecimenID
accessType,Evaluate,15,"nf_12.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),AccessType
eTag,Synapse Platform Generated,15,"nf_21.csv, nf_22.csv, nf_23.csv",Found (Case Insensitive),Etag
genePerturbationType,Evaluate,14,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),GenePerturbationType
Component,Evaluate,14,"nf_21.csv, nf_22.csv, nf_23.csv",Found (Exact),Component
aliquotID,Evaluate,12,"nf_2.csv, nf_3.csv, nf_33.csv",Found (Case Insensitive),AliquotID
drugScreenType,Evaluate,11,"nf_10.csv, nf_11.csv, nf_17.csv",Found (Case Insensitive),DrugScreenType
description,Do not evaluate,11,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),Description
comments,Do not evaluate,7,"nf_21.csv, nf_33.csv, nf_34.csv",Found (Case Insensitive),Comments
Id,Synapse Platform Generated,3,"nf_21.csv, nf_22.csv, nf_23.csv",Found (Exact),Id
averageInsertSize,Evaluate,3,"nf_28.csv, nf_29.csv, nf_30.csv",Found (Case Insensitive),AverageInsertSize
averageReadLength,Evaluate,3,"nf_28.csv, nf_29.csv, nf_30.csv",Found (Case Insensitive),AverageReadLength
Filename,Evaluate,2,"nf_24.csv, nf_25.csv",Found (Exact),Filename
experimentId,Do not evaluate,2,"nf_24.csv, nf_25.csv",Found (Case Insensitive),ExperimentId
libraryPreparationMethod,Evaluate,1,nf_14.csv,Found (Case Insensitive),LibraryPreparationMethod
modelSystemName,Evaluate,1,nf_32.csv,Found (Case Insensitive),ModelSystemName
targetCaptureKitID,Evaluate,1,nf_6.csv,Found (Case Insensitive),TargetCaptureKitID
assay,Evaluate,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),Assay
species,Evaluate,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),Species
fundingAgency,Evaluate,36,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),FundingAgency
sex,Evaluate,36,"nf_1.csv, nf_12.csv, nf_13.csv",Found (Case Insensitive),Sex
isCellLine,Evaluate,34,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),IsCellLine
initiative,Evaluate,32,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),Initiative
organ,Evaluate,31,"nf_10.csv, nf_11.csv, nf_12.csv",Found (Case Insensitive),Organ
tissue,Evaluate,31,"nf_10.csv, nf_11.csv, nf_12.csv",Found (Case Insensitive),Tissue
readPair,Evaluate,28,"nf_12.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),ReadPair
isPrimaryCell,Evaluate,26,"nf_1.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),IsPrimaryCell
modelSystemName,Evaluate,24,"nf_1.csv, nf_12.csv, nf_2.csv",Found (Case Insensitive),ModelSystemName
libraryPrep,Evaluate,24,"nf_12.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),LibraryPrep
age,Evaluate,22,"nf_1.csv, nf_2.csv, nf_21.csv",Found (Case Insensitive),Age
nucleicAcidSource,Evaluate,22,"nf_1.csv, nf_12.csv, nf_13.csv",Found (Case Insensitive),NucleicAcidSource
