                                                                     ,dataType,fileFormat,individualID,specimenID,tumorType,nf1Genotype,nf2Genotype,cellType,diagnosis,studyName,drugScreenType,assay,species,isCellLine,initiative,organ,tissue,isMultiIndividual,isMultiSpecimen
processed,drugCombinationScreen,csv,ipn02.3,ipn02.3,Plexiform Neurofibroma,+/+,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
metadata,drugCombinationScreen,csv,ipn02.3,ipn02.3,Plexiform Neurofibroma,+/+,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
processed,drugCombinationScreen,csv,ipn02.3,ipn02.3,Plexiform Neurofibroma,+/+,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
processed,drugCombinationScreen,csv,ipNF05.5,ipNF05.5,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
metadata,drugCombinationScreen,csv,ipNF05.5,ipNF05.5,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
processed,drugCombinationScreen,csv,ipNF05.5,ipNF05.5,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
processed,drugCombinationScreen,csv,ipNF05.5 (mixed clone),ipNF05.5 (mixed clone),Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
metadata,drugCombinationScreen,csv,ipNF05.5 (mixed clone),ipNF05.5 (mixed clone),Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
processed,drugCombinationScreen,csv,ipNF05.5 (mixed clone),ipNF05.5 (mixed clone),Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
processed,drugCombinationScreen,csv,ipNF95.6,ipNF95.6,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
metadata,drugCombinationScreen,csv,ipNF95.6,ipNF95.6,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
processed,drugCombinationScreen,csv,ipNF95.6,ipNF95.6,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
processed,drugCombinationScreen,csv,ipnNF95.11c,ipnNF95.11c,,"-/-, +/-",+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
metadata,drugCombinationScreen,csv,ipnNF95.11c,ipnNF95.11c,,"-/-, +/-",+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
processed,drugCombinationScreen,csv,ipnNF95.11c,ipnNF95.11c,,"-/-, +/-",+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
processed,drugCombinationScreen,csv,HFF,HFF,,+/+,+/+,fibroblast,,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,Yes,Cell Culture Initiative,foreskin,skin,No,Yes
metadata,drugCombinationScreen,csv,HFF,HFF,,+/+,+/+,fibroblast,,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,Yes,Cell Culture Initiative,foreskin,skin,No,Yes
processed,drugCombinationScreen,csv,HFF,HFF,,+/+,+/+,fibroblast,,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,Yes,Cell Culture Initiative,foreskin,skin,No,Yes
