dataSubtype,dataType,fileFormat,nf1Genotype,diagnosis,platform,assay,species,organ,tissue
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
raw,proteomics,raw,-/-,Neurofibromatosis type 1,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,skin,primary tumor
