dataSubtype,dataType,fileFormat,platform,assay,species
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
representative,image,tif,Zeiss LSM,immunocytochemistry,Homo sapiens
