dataSubtype,dataType,fileFormat,individualID,runType,readLength,platform,assay,species,libraryPrep,nucleicAcidSource,readStrandOrigin
raw,genomicVariants,bam,JH-2-009,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,JH-2-009,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,JH-2-009,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,WU-487,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,WU-487,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,WU-487,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,JH-2-079c,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,JH-2-079c,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,MN-2,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,MN-2,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,MN-2,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,WU-561,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,WU-561,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,WU-561,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,JH-2-055,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,JH-2-055,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,WU-536,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,WU-536,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,WU-536,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,MN-3,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,MN-3,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bam,MN-3,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
raw,genomicVariants,bai,JH-2-009,pairedEnd,151,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,polyAselection,bulk cell,forward
