dataSubtype,dataType,fileFormat,individualID,specimenID,tumorType,nf1Genotype,nf2Genotype,diagnosis,platform,transplantationType,genePerturbationType,modelSystemName,assay,species,isCellLine,organ,tissue,isPrimaryCell,isMultiIndividual,isMultiSpecimen,genePerturbationTechnology,genePerturbed,transplantationRecipientTissue
raw,genomicVariants,fastq,NF1-P53,NF1-P53T,Malignant Peripheral Nerve Sheath Tumor,+/-,+/+,Neurofibromatosis type 1,Illumina HiSeq 2500,,,NF1-P53,whole exome sequencing,Mus musculus,No,skin,primary tumor,TRUE,No,No,,,
raw,genomicVariants,fastq,NF1-P53,NF1-P53T,Malignant Peripheral Nerve Sheath Tumor,+/-,+/+,Neurofibromatosis type 1,Illumina HiSeq 2500,,,NF1-P53,whole exome sequencing,Mus musculus,No,skin,primary tumor,TRUE,No,No,,,
raw,genomicVariants,fastq,NF1-MET,NF1-METblood,Malignant Peripheral Nerve Sheath Tumor,-/-,+/+,Neurofibromatosis type 1,Illumina HiSeq 2500,,knockout,NF1-MET,whole exome sequencing,Mus musculus,No,blood,blood,TRUE,No,No,CRE Recombinase,"NF1,MET",
raw,genomicVariants,fastq,NF1-MET,NF1-METblood,Malignant Peripheral Nerve Sheath Tumor,-/-,+/+,Neurofibromatosis type 1,Illumina HiSeq 2500,,knockout,NF1-MET,whole exome sequencing,Mus musculus,No,blood,blood,TRUE,No,No,CRE Recombinase,"NF1,MET",
raw,genomicVariants,fastq,NF1-MET,NF1-METtcells,Malignant Peripheral Nerve Sheath Tumor,-/-,+/+,Neurofibromatosis type 1,Illumina HiSeq 2500,,knockout,NF1-MET,whole exome sequencing,Mus musculus,No,skin,,TRUE,No,No,CRE Recombinase,"NF1,MET",
raw,genomicVariants,fastq,NF1-MET,NF1-METtcells,Malignant Peripheral Nerve Sheath Tumor,-/-,+/+,Neurofibromatosis type 1,Illumina HiSeq 2500,,knockout,NF1-MET,whole exome sequencing,Mus musculus,No,skin,,TRUE,No,No,CRE Recombinase,"NF1,MET",
raw,genomicVariants,fastq,NF1-MET,NF1-METtg,Malignant Peripheral Nerve Sheath Tumor,-/-,+/+,Neurofibromatosis type 1,Illumina HiSeq 2500,allograft,knockout,NF1-MET,whole exome sequencing,Mus musculus,No,skin,primary tumor,TRUE,No,No,CRE Recombinase,"NF1,MET",skin
raw,genomicVariants,fastq,NF1-MET,NF1-METtg,Malignant Peripheral Nerve Sheath Tumor,-/-,+/+,Neurofibromatosis type 1,Illumina HiSeq 2500,allograft,knockout,NF1-MET,whole exome sequencing,Mus musculus,No,skin,primary tumor,TRUE,No,No,CRE Recombinase,"NF1,MET",skin
raw,genomicVariants,fastq,NF1-P53,NF1-P53tg,Malignant Peripheral Nerve Sheath Tumor,-/-,+/+,Neurofibromatosis type 1,Illumina HiSeq 2500,allograft,,NF1-P53,whole exome sequencing,Mus musculus,No,skin,primary tumor,TRUE,No,No,,,skin
raw,genomicVariants,fastq,NF1-P53,NF1-P53tg,Malignant Peripheral Nerve Sheath Tumor,-/-,+/+,Neurofibromatosis type 1,Illumina HiSeq 2500,allograft,,NF1-P53,whole exome sequencing,Mus musculus,No,skin,primary tumor,TRUE,No,No,,,skin
raw,genomicVariants,fastq,NF1-P53,NF1T,Malignant Peripheral Nerve Sheath Tumor,-/-,+/+,Neurofibromatosis type 1,Illumina HiSeq 2500,,,NF1-P53,whole exome sequencing,Mus musculus,No,skin,primary tumor,TRUE,No,No,,,
raw,genomicVariants,fastq,NF1-P53,NF1T,Malignant Peripheral Nerve Sheath Tumor,-/-,+/+,Neurofibromatosis type 1,Illumina HiSeq 2500,,,NF1-P53,whole exome sequencing,Mus musculus,No,skin,primary tumor,TRUE,No,No,,,
raw,genomicVariants,fastq,NF1-P53,NF1tg,Malignant Peripheral Nerve Sheath Tumor,-/-,+/+,Neurofibromatosis type 1,Illumina HiSeq 2500,allograft,,NF1-P53,whole exome sequencing,Mus musculus,No,skin,primary tumor,TRUE,No,No,,,skin
raw,genomicVariants,fastq,NF1-P53,NF1tg,Malignant Peripheral Nerve Sheath Tumor,-/-,+/+,Neurofibromatosis type 1,Illumina HiSeq 2500,allograft,,NF1-P53,whole exome sequencing,Mus musculus,No,skin,primary tumor,TRUE,No,No,,,skin
