dataSubtype,dataType,fileFormat,nf2Genotype,diagnosis,assay,species,isCellLine
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
raw,chromatinActivity,idat,+/+,Neurofibromatosis type 1,methylation array,Homo sapiens,Yes
