dataSubtype,dataType,fileFormat,individualID,specimenID,platform,Component,libraryPreparationMethod,assay,species,sex,isStranded,specimenPreparationMethod,libraryStrand
raw,geneExpression,fastq,IGTP_FIPS,EX16_FiPS_NC,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,FiPS_PSC,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_5,5PNF_TDiPSsv_MM_PSC,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Male,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_3,3PNF_SiPSsv_MM_PSC,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Female,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_3_and_IGTP_5,EXP13_EXP14_3PNFiPS_5PNFiPS_14,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,FiPS_PSC,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_5,EXP10_5PNFiPS_14,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Male,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_5,EXP10_5PNFiPS_14,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Male,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,EX15_FiPS_14,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_3,EXP11_3PNFiPs_MM_14,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Female,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_3,3PNF_SC,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Female,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,EX16_FiPS_14,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,EX15_FiPS_NC,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,EX15_FiPS_14,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_5,EXP13_5PNFiPS_NC,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Male,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_5,5PNF_SC,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Male,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_5,5PNF_TDiPSsv_MM_PSC,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Male,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_3_and_IGTP_5,EXP13_EXP14_3PNFiPS_5PNFiPS_14,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,EX16_FiPS_7,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_3,EXP11_3PNFiPs_MM_NC,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Female,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,EX15_FiPS_7,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_3_and_IGTP_5,EXP13_EXP14_3PNFiPS_5PNFiPS_NC,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,EX15_FiPS_30,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_5,5PNF_SC,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Male,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_3,3PNF_SC,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Female,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,EX15_FiPS_NC,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_5,EXP10_5PNFiPS_7,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Male,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_3_and_IGTP_5,EXP13_EXP14_3PNFiPS_5PNFiPS_NC,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_5,EXP10_5PNFiPS_30,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Male,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_3,EXP11_3PNFiPs_MM_NC,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Female,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_3,3PNF_SiPSsv_MM_PSC,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Female,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,EX18_FiPS_14,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,EX18_FiPS_30,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,EX16_FiPS_7,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,EX18_FiPS_7,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,EX15_FiPS_30,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,EX16_FiPS_NC,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,EX18_FiPS_30,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_3,EXP11_3PNFiPs_MM_7,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Female,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,EX16_FiPS_14,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_3_and_IGTP_5,EXP13_EXP14_3PNFiPS_5PNFiPS_7,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_5,EXP10_5PNFiPS_7,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Male,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,EX18_FiPS_14,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_5,EXP13_5PNFiPS_NC,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Male,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,EX16_FiPS_30,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_3,EXP11_3PNFiPs_MM_14,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Female,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_3,EXP11_3PNFiPs_MM_30,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Female,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_3,EXP11_3PNFiPs_MM_7,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,Female,Yes,Fresh collected,FirstStranded
raw,geneExpression,fastq,IGTP_FIPS,EX16_FiPS_30,Illumina HiSeq 3000,RNASeqTemplate,TruSeq standard total RNA library kit,RNA-seq,Homo sapiens,,Yes,Fresh collected,FirstStranded
