dataSubtype,dataType,fileFormat,individualID,specimenID,nf2Genotype,cellType,runType,diagnosis,platform,experimentalCondition,genePerturbationType,modelSystemName,assay,species,isCellLine,readPair,isPrimaryCell,libraryPrep,isMultiIndividual,isMultiSpecimen,isStranded,timePointUnit,genePerturbationTechnology,genePerturbed,compoundName,experimentalTimePoint
raw,geneExpression,fastq,HS01,HS01_10,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Brigatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,Brigatinib,24
raw,geneExpression,fastq,HS01,HS01_10,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Brigatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,Brigatinib,24
raw,geneExpression,fastq,HS01,HS01_11,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Simvastatin",24
raw,geneExpression,fastq,HS01,HS01_11,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Simvastatin",24
raw,geneExpression,fastq,HS01,HS01_1,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,DMSO,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,DMSO,24
raw,geneExpression,fastq,HS01,HS01_12,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Brigatinib",24
raw,geneExpression,fastq,HS01,HS01_12,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Brigatinib",24
raw,geneExpression,fastq,HS01,HS01_1,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,DMSO,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,DMSO,24
raw,geneExpression,fastq,HS01,HS01_13,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,DMSO,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,DMSO,24
raw,geneExpression,fastq,HS01,HS01_13,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,DMSO,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,DMSO,24
raw,geneExpression,fastq,HS01,HS01_14,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Dasatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,Dasatinib,24
raw,geneExpression,fastq,HS01,HS01_14,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Dasatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,Dasatinib,24
raw,geneExpression,fastq,HS01,HS01_15,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Simvastatin,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,Simvastatin,24
raw,geneExpression,fastq,HS01,HS01_15,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Simvastatin,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,Simvastatin,24
raw,geneExpression,fastq,HS01,HS01_16,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Brigatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,Brigatinib,24
raw,geneExpression,fastq,HS01,HS01_16,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Brigatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,Brigatinib,24
raw,geneExpression,fastq,HS01,HS01_17,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Simvastatin",24
raw,geneExpression,fastq,HS01,HS01_17,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Simvastatin",24
raw,geneExpression,fastq,HS01,HS01_18,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Brigatinib",24
raw,geneExpression,fastq,HS01,HS01_18,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Brigatinib",24
raw,geneExpression,fastq,HS01,HS01_2,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Dasatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,Dasatinib,24
raw,geneExpression,fastq,HS01,HS01_2,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Dasatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,Dasatinib,24
raw,geneExpression,fastq,HS01,HS01_3,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Simvastatin,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,Simvastatin,24
raw,geneExpression,fastq,HS01,HS01_3,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Simvastatin,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,Simvastatin,24
raw,geneExpression,fastq,HS01,HS01_4,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Brigatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,Brigatinib,24
raw,geneExpression,fastq,HS01,HS01_4,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Brigatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,Brigatinib,24
raw,geneExpression,fastq,HS01,HS01_5,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Simvastatin",24
raw,geneExpression,fastq,HS01,HS01_5,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Simvastatin",24
raw,geneExpression,fastq,HS01,HS01_6,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Brigatinib",24
raw,geneExpression,fastq,HS01,HS01_6,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Brigatinib",24
raw,geneExpression,fastq,HS01,HS01_7,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,DMSO,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,DMSO,24
raw,geneExpression,fastq,HS01,HS01_7,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,DMSO,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,DMSO,24
raw,geneExpression,fastq,HS01,HS01_8,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Dasatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,Dasatinib,24
raw,geneExpression,fastq,HS01,HS01_8,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Dasatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,Dasatinib,24
raw,geneExpression,fastq,HS01,HS01_9,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Simvastatin,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,NF2,Simvastatin,24
raw,geneExpression,fastq,HS01,HS01_9,+/+,schwann,pairedEnd,Neurofibromatosis type 2,Illumina HiSeq 2500,Simvastatin,control,HS01,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,,Simvastatin,24
raw,geneExpression,fastq,HS11,HS11_10,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,Brigatinib,control,HS11,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,,Brigatinib,24
raw,geneExpression,fastq,HS11,HS11_10,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,Brigatinib,control,HS11,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,,Brigatinib,24
raw,geneExpression,fastq,HS11,HS11_11,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,"Dasatinib,Simvastatin",control,HS11,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Simvastatin",24
raw,geneExpression,fastq,HS11,HS11_11,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,"Dasatinib,Simvastatin",control,HS11,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Simvastatin",24
raw,geneExpression,fastq,HS11,HS11_1,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,DMSO,control,HS11,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,,DMSO,24
raw,geneExpression,fastq,HS11,HS11_12,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,"Dasatinib,Brigatinib",control,HS11,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Brigatinib",24
raw,geneExpression,fastq,HS11,HS11_12,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,"Dasatinib,Brigatinib",control,HS11,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,,"Dasatinib,Brigatinib",24
raw,geneExpression,fastq,HS11,HS11_1,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,DMSO,control,HS11,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,,DMSO,24
raw,geneExpression,fastq,HS11,HS11_13,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,DMSO,control,HS11,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,,DMSO,24
raw,geneExpression,fastq,HS11,HS11_13,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,DMSO,control,HS11,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,,DMSO,24
raw,geneExpression,fastq,HS11,HS11_14,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,Dasatinib,control,HS11,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,,Dasatinib,24
raw,geneExpression,fastq,HS11,HS11_14,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,Dasatinib,control,HS11,RNA-seq,Homo sapiens,Yes,2,TRUE,polyAselection,No,No,Yes,hours,RNAi,,Dasatinib,24
raw,geneExpression,fastq,HS11,HS11_15,+/+,schwann,pairedEnd,,Illumina HiSeq 2500,Simvastatin,control,HS11,RNA-seq,Homo sapiens,Yes,1,TRUE,polyAselection,No,No,Yes,hours,RNAi,,Simvastatin,24
