dataSubtype,dataType,fileFormat,individualID,specimenID,tumorType,nf1Genotype,runType,readLength,platform,genePerturbationType,Component,modelSystemName,assay,species,specimenPreparationMethod,genePerturbationTechnology,genePerturbed
raw,chromatinActivity,fastq,H3K27me3_M3sgCon_1,H3K27me3_M3sgCon_1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,100,Illumina HiSeq 2500,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,Fresh collected,CRISPR,
raw,chromatinActivity,fastq,H3K27me3_M3sgCon_2,H3K27me3_M3sgCon_2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,100,Illumina HiSeq 2500,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,Fresh collected,CRISPR,
raw,chromatinActivity,fastq,H3K27me3_M3sgSUZ12_1,H3K27me3_M3sgSUZ12_1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,100,Illumina HiSeq 2500,knockout,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,Fresh collected,CRISPR,SUZ12
raw,chromatinActivity,fastq,H3K27me3_M3sgSUZ12_2,H3K27me3_M3sgSUZ12_2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,100,Illumina HiSeq 2500,knockout,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,Fresh collected,CRISPR,SUZ12
raw,chromatinActivity,fastq,H3K27ac_M3sgCon_1,H3K27ac_M3sgCon_1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,100,Illumina HiSeq 2500,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,Fresh collected,CRISPR,
raw,chromatinActivity,fastq,H3K27ac_M3sgCon_2,H3K27ac_M3sgCon_2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,100,Illumina HiSeq 2500,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,Fresh collected,CRISPR,
raw,chromatinActivity,fastq,H3K27ac_M3sgSUZ12_1,H3K27ac_M3sgSUZ12_1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,100,EnVision 2103 Multiplate Reader,knockout,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,Fresh collected,CRISPR,SUZ12
raw,chromatinActivity,fastq,H3K27ac_M3sgSUZ12_2,H3K27ac_M3sgSUZ12_2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,100,Illumina HiSeq 2500,knockout,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,Fresh collected,CRISPR,SUZ12
raw,chromatinActivity,fastq,H3K36me2_M3sgCon_1,H3K36me2_M3sgCon_1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,100,Illumina HiSeq 2500,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,Fresh collected,CRISPR,
raw,chromatinActivity,fastq,H3K36me2_M3sgCon_2,H3K36me2_M3sgCon_2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,100,Illumina HiSeq 2500,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,Fresh collected,CRISPR,
raw,chromatinActivity,fastq,H3K36me2_M3sgSUZ12_1,H3K36me2_M3sgSUZ12_1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,100,Illumina HiSeq 2500,knockout,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,Fresh collected,CRISPR,SUZ12
raw,chromatinActivity,fastq,H3K36me2_M3sgSUZ12_2,H3K36me2_M3sgSUZ12_2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,100,Illumina HiSeq 2500,knockout,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,Fresh collected,CRISPR,SUZ12
raw,chromatinActivity,fastq,H3K36me3_M3sgCon_1,H3K36me3_M3sgCon_1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,100,Illumina HiSeq 2500,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,Fresh collected,CRISPR,
raw,chromatinActivity,fastq,H3K36me3_M3sgCon_2,H3K36me3_M3sgCon_2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,100,Illumina HiSeq 2500,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,Fresh collected,CRISPR,
raw,chromatinActivity,fastq,H3K36me3_M3sgSUZ12_1,H3K36me3_M3sgSUZ12_1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,100,Illumina HiSeq 2500,knockout,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,Fresh collected,CRISPR,SUZ12
raw,chromatinActivity,fastq,H3K36me3_M3sgSUZ12_2,H3K36me3_M3sgSUZ12_2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,100,Illumina HiSeq 2500,knockout,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,Fresh collected,CRISPR,SUZ12
