dataSubtype,dataType,fileFormat,individualID,specimenID,tumorType,nf1Genotype,runType,diagnosis,readLength,platform,experimentalCondition,genePerturbationType,Component,modelSystemName,assay,species,nucleicAcidSource,timePointUnit,specimenPreparationMethod,genePerturbationTechnology,genePerturbed,experimentalTimepoint
raw,chromatinActivity,fastq,M3_sgCon_rep1,M3_sgCon_rep1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,PBS,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,bulk cell,,Fresh collected,CRISPR,,24
raw,chromatinActivity,fastq,M3_sgCon_rep2,M3_sgCon_rep2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,PBS,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,bulk cell,,Fresh collected,CRISPR,,24
raw,chromatinActivity,fastq,M3_sgSUZ12_rep1,M3_sgSUZ12_rep1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,PBS,knockout,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,bulk cell,,Fresh collected,CRISPR,SUZ12,24
raw,chromatinActivity,fastq,M3_sgSUZ12_rep2,M3_sgSUZ12_rep2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,PBS,knockout,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,bulk cell,,Fresh collected,CRISPR,SUZ12,24
raw,chromatinActivity,fastq,G1_M3_sgCon_rep1,G1_M3_sgCon_rep1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,PBS,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,bulk cell,,Fresh collected,CRISPR,,24
raw,chromatinActivity,fastq,G1_M3_sgCon_rep2,G1_M3_sgCon_rep2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,PBS,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,bulk cell,,Fresh collected,CRISPR,,24
raw,chromatinActivity,fastq,G2_M3_sgSUZ12_rep1,G2_M3_sgSUZ12_rep1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,PBS,knockout,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,bulk cell,,Fresh collected,CRISPR,SUZ12,24
raw,chromatinActivity,fastq,G2_M3_sgSUZ12_rep2,G2_M3_sgSUZ12_rep2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,PBS,knockout,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,bulk cell,,Fresh collected,CRISPR,SUZ12,24
raw,chromatinActivity,fastq,G3_M3_sgCon_IFNγ_rep1,G3_M3_sgCon_IFNγ_rep1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,10 ng/ml IFNγ stimulation for 24 hr,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,bulk cell,hours,Fresh collected,CRISPR,,24
raw,chromatinActivity,fastq,G3_M3_sgCon_IFNγ_rep2,G3_M3_sgCon_IFNγ_rep2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,10 ng/ml IFNγ stimulation for 24 hr,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,bulk cell,hours,Fresh collected,CRISPR,,24
raw,chromatinActivity,fastq,G4_M3_sgSUZ12_IFNγ_rep1,G4_M3_sgSUZ12_IFNγ_rep1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,10 ng/ml IFNγ stimulation for 24 hr,knockout,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,bulk cell,hours,Fresh collected,CRISPR,SUZ12,24
raw,chromatinActivity,fastq,G4_M3_sgSUZ12_IFNγ_rep2,G4_M3_sgSUZ12_IFNγ_rep2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,10 ng/ml IFNγ stimulation for 24 hr,knockout,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,bulk cell,hours,Fresh collected,CRISPR,SUZ12,24
