dataSubtype,dataType,fileFormat,individualID,specimenID,tumorType,nf1Genotype,runType,diagnosis,readLength,platform,experimentalCondition,genePerturbationType,Component,libraryPreparationMethod,modelSystemName,assay,species,isCellLine,nucleicAcidSource,timePointUnit,specimenPreparationMethod,genePerturbationTechnology,genePerturbed,experimentalTimepoint
raw,chromatinActivity,fastq,sgCon_DMSO_methyl_rep1,sgCon_DMSO_methyl_rep1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,DMSO,non-targeting control,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,Yes,bulk cell,days,Fresh collected,CRISPR,,4
raw,chromatinActivity,fastq,sgCon_DMSO_methyl_rep2,sgCon_DMSO_methyl_rep2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,DMSO,non-targeting control,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,Yes,bulk cell,days,Fresh collected,CRISPR,,4
raw,chromatinActivity,fastq,sgCon_PBS_methyl_rep1,sgCon_PBS_methyl_rep1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,PBS,non-targeting control,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,Yes,bulk cell,days,Fresh collected,CRISPR,,4
raw,chromatinActivity,fastq,sgCon_PBS_methyl_rep2,sgCon_PBS_methyl_rep2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,PBS,non-targeting control,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,Yes,bulk cell,days,Fresh collected,CRISPR,,4
raw,chromatinActivity,fastq,sgCon_GSK862_methyl_rep1,sgCon_GSK862_methyl_rep1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,4000 nM GSK862,non-targeting control,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,Yes,bulk cell,days,Fresh collected,CRISPR,,4
raw,chromatinActivity,fastq,sgCon_GSK862_methyl_rep2,sgCon_GSK862_methyl_rep2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,4000 nM GSK862,non-targeting control,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,Yes,bulk cell,days,Fresh collected,CRISPR,,4
raw,chromatinActivity,fastq,sgCon_DAC_methyl_rep1,sgCon_DAC_methyl_rep1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,50 nM Decitabine (DAC),non-targeting control,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,Yes,bulk cell,days,Fresh collected,CRISPR,,4
raw,chromatinActivity,fastq,sgCon_DAC_methyl_rep2,sgCon_DAC_methyl_rep2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,50 nM Decitabine (DAC),non-targeting control,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,Yes,bulk cell,days,Fresh collected,CRISPR,,4
raw,chromatinActivity,fastq,sgSUZ12_DMSO_methyl_rep1,sgSUZ12_DMSO_methyl_rep1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,DMSO,knockout,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,Yes,bulk cell,days,Fresh collected,CRISPR,SUZ12,4
raw,chromatinActivity,fastq,sgSUZ12_DMSO_methyl_rep2,sgSUZ12_DMSO_methyl_rep2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,DMSO,knockout,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,Yes,bulk cell,days,Fresh collected,CRISPR,SUZ12,4
raw,chromatinActivity,fastq,sgSUZ12_PBS_methyl_rep1,sgSUZ12_PBS_methyl_rep1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,PBS,knockout,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,Yes,bulk cell,days,Fresh collected,CRISPR,SUZ12,4
raw,chromatinActivity,fastq,sgSUZ12_PBS_methyl_rep2,sgSUZ12_PBS_methyl_rep2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,PBS,knockout,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,Yes,bulk cell,days,Fresh collected,CRISPR,SUZ12,4
raw,chromatinActivity,fastq,sgSUZ12_GSK862_methyl_rep1,sgSUZ12_GSK862_methyl_rep1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,4000 nM GSK862,knockout,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,Yes,bulk cell,days,Fresh collected,CRISPR,SUZ12,4
raw,chromatinActivity,fastq,sgSUZ12_GSK862_methyl_rep2,sgSUZ12_GSK862_methyl_rep2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,4000 nM GSK862,knockout,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,Yes,bulk cell,days,Fresh collected,CRISPR,SUZ12,4
raw,chromatinActivity,fastq,sgSUZ12_DAC_methyl_rep1,sgSUZ12_DAC_methyl_rep1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,50 nM Decitabine (DAC),knockout,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,Yes,bulk cell,days,Fresh collected,CRISPR,SUZ12,4
raw,chromatinActivity,fastq,sgSUZ12_DAC_methyl_rep2,sgSUZ12_DAC_methyl_rep2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,100,Illumina HiSeq 2500,50 nM Decitabine (DAC),knockout,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,Yes,bulk cell,days,Fresh collected,CRISPR,SUZ12,4
