dataSubtype,dataType,fileFormat,individualID,specimenID,tumorType,nf1Genotype,runType,diagnosis,readLength,platform,experimentalCondition,genePerturbationType,Component,libraryPreparationMethod,modelSystemName,assay,species,isCellLine,libraryPrep,nucleicAcidSource,isStranded,timePointUnit,specimenPreparationMethod,genePerturbationTechnology,experimentalTimepoint
raw,geneExpression,fastq,sgCon_DMSO_rep1,sgCon_DMSO_rep1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,50,Illumina HiSeq 2500,DMSO,non-targeting control,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,Yes,polyAselection,bulk cell,Yes,days,Fresh collected,CRISPR,4
raw,geneExpression,fastq,sgCon_DMSO_rep2,sgCon_DMSO_rep2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,50,Illumina HiSeq 2500,DMSO,non-targeting control,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,Yes,polyAselection,bulk cell,Yes,days,Fresh collected,CRISPR,4
raw,geneExpression,fastq,sgCon_PBS_rep1,sgCon_PBS_rep1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,50,Illumina HiSeq 2500,PBS,non-targeting control,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,Yes,polyAselection,bulk cell,Yes,days,Fresh collected,CRISPR,4
raw,geneExpression,fastq,sgCon_PBS_rep2,sgCon_PBS_rep2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,50,Illumina HiSeq 2500,PBS,non-targeting control,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,Yes,polyAselection,bulk cell,Yes,days,Fresh collected,CRISPR,4
raw,geneExpression,fastq,sgCon_GSK862_rep1,sgCon_GSK862_rep1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,50,Illumina HiSeq 2500,4000 nM GSK862,non-targeting control,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,Yes,polyAselection,bulk cell,Yes,days,Fresh collected,CRISPR,4
raw,geneExpression,fastq,sgCon_GSK862_rep2,sgCon_GSK862_rep2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,50,Illumina HiSeq 2500,4000 nM GSK862,non-targeting control,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,Yes,polyAselection,bulk cell,Yes,days,Fresh collected,CRISPR,4
raw,geneExpression,fastq,sgCon_DAC_rep1,sgCon_DAC_rep1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,50,Illumina HiSeq 2500,50 nM Decitabine (DAC),non-targeting control,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,Yes,polyAselection,bulk cell,Yes,days,Fresh collected,CRISPR,4
raw,geneExpression,fastq,sgCon_DAC_rep2,sgCon_DAC_rep2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,50,Illumina HiSeq 2500,50 nM Decitabine (DAC),non-targeting control,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,Yes,polyAselection,bulk cell,Yes,days,Fresh collected,CRISPR,4
raw,geneExpression,fastq,sgSUZ12_DMSO_rep1,sgSUZ12_DMSO_rep1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,50,Illumina HiSeq 2500,DMSO,knockdown,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,Yes,polyAselection,bulk cell,Yes,days,Fresh collected,CRISPR,4
raw,geneExpression,fastq,sgSUZ12_DMSO_rep2,sgSUZ12_DMSO_rep2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,50,Illumina HiSeq 2500,DMSO,knockdown,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,Yes,polyAselection,bulk cell,Yes,days,Fresh collected,CRISPR,4
raw,geneExpression,fastq,sgSUZ12_PBS_rep1,sgSUZ12_PBS_rep1,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,50,Illumina HiSeq 2500,PBS,knockdown,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,Yes,polyAselection,bulk cell,Yes,days,Fresh collected,CRISPR,4
raw,geneExpression,fastq,sgSUZ12_PBS_rep2,sgSUZ12_PBS_rep2,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,50,Illumina HiSeq 2500,PBS,knockdown,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,Yes,polyAselection,bulk cell,Yes,days,Fresh collected,CRISPR,4
