dataSubtype,dataType,fileFormat,individualID,specimenID,tumorType,runType,diagnosis,platform,parentSpecimenID,modelSystemName,targetCaptureKitID,assay,species,sex,isCellLine,readPair,isPrimaryCell,age,nucleicAcidSource
raw,genomicVariants,fastq,S462,S462,Malignant Peripheral Nerve Sheath Tumor,pairedEnd,Neurofibromatosis type 1,Illumina HiSeq 2500,S462,S462,Agilent SureSelect Human All Exon V5,whole exome sequencing,Homo sapiens,Female,Yes,2,No,19,bulk cell
raw,genomicVariants,fastq,HS-PSS,HS-PSS,Sarcoma,pairedEnd,Not Applicable,Illumina HiSeq 2500,HS-PSS,HS-PSS,Agilent SureSelect Human All Exon V5,whole exome sequencing,Homo sapiens,Male,Yes,2,No,,bulk cell
raw,genomicVariants,fastq,STS-26T,STS-26T,Melanoma,pairedEnd,Not Applicable,Illumina HiSeq 2500,STS-26T,STS-26T,Agilent SureSelect Human All Exon V5,whole exome sequencing,Homo sapiens,Female,Yes,2,No,51,bulk cell
raw,genomicVariants,fastq,HS-Sch-2,HS-Sch-2,Melanoma,pairedEnd,Not Applicable,Illumina HiSeq 2500,HS-Sch-2,HS-Sch-2,Agilent SureSelect Human All Exon V5,whole exome sequencing,Homo sapiens,Female,Yes,1,No,54,bulk cell
raw,genomicVariants,fastq,sNF96.2,sNF96.2,Malignant Peripheral Nerve Sheath Tumor,pairedEnd,Neurofibromatosis type 1,Illumina HiSeq 2500,sNF96.2,sNF96.2,Agilent SureSelect Human All Exon V5,whole exome sequencing,Homo sapiens,Male,Yes,2,No,27,bulk cell
raw,genomicVariants,fastq,NMS-2,NMS-2,Malignant Peripheral Nerve Sheath Tumor,pairedEnd,Neurofibromatosis type 1,Illumina HiSeq 2500,NMS-2,NMS-2,Agilent SureSelect Human All Exon V5,whole exome sequencing,Homo sapiens,Male,Yes,2,No,30,bulk cell
raw,genomicVariants,fastq,90-8,90-8,Malignant Peripheral Nerve Sheath Tumor,pairedEnd,Neurofibromatosis type 1,Illumina HiSeq 2500,90-8,90-8,Agilent SureSelect Human All Exon V5,whole exome sequencing,Homo sapiens,Female,Yes,2,No,17,bulk cell
raw,genomicVariants,fastq,STS-26T,STS-26T,Melanoma,pairedEnd,Not Applicable,Illumina HiSeq 2500,STS-26T,STS-26T,Agilent SureSelect Human All Exon V5,whole exome sequencing,Homo sapiens,Female,Yes,1,No,51,bulk cell
raw,genomicVariants,fastq,ST88-14,ST88-14,Malignant Peripheral Nerve Sheath Tumor,pairedEnd,Neurofibromatosis type 1,Illumina HiSeq 2500,ST88-14,ST88-14,Agilent SureSelect Human All Exon V5,whole exome sequencing,Homo sapiens,Male,Yes,1,No,24,bulk cell
raw,genomicVariants,fastq,HS-Sch-2,HS-Sch-2,Melanoma,pairedEnd,Not Applicable,Illumina HiSeq 2500,HS-Sch-2,HS-Sch-2,Agilent SureSelect Human All Exon V5,whole exome sequencing,Homo sapiens,Female,Yes,2,No,54,bulk cell
raw,genomicVariants,fastq,NMS-2,NMS-2,Malignant Peripheral Nerve Sheath Tumor,pairedEnd,Neurofibromatosis type 1,Illumina HiSeq 2500,NMS-2,NMS-2,Agilent SureSelect Human All Exon V5,whole exome sequencing,Homo sapiens,Male,Yes,1,No,30,bulk cell
raw,genomicVariants,fastq,HS-PSS,HS-PSS,Sarcoma,pairedEnd,Not Applicable,Illumina HiSeq 2500,HS-PSS,HS-PSS,Agilent SureSelect Human All Exon V5,whole exome sequencing,Homo sapiens,Male,Yes,1,No,,bulk cell
raw,genomicVariants,fastq,sNF96.2,sNF96.2,Malignant Peripheral Nerve Sheath Tumor,pairedEnd,Neurofibromatosis type 1,Illumina HiSeq 2500,sNF96.2,sNF96.2,Agilent SureSelect Human All Exon V5,whole exome sequencing,Homo sapiens,Male,Yes,1,No,27,bulk cell
raw,genomicVariants,fastq,ST88-14,ST88-14,Malignant Peripheral Nerve Sheath Tumor,pairedEnd,Neurofibromatosis type 1,Illumina HiSeq 2500,ST88-14,ST88-14,Agilent SureSelect Human All Exon V5,whole exome sequencing,Homo sapiens,Male,Yes,2,No,24,bulk cell
raw,genomicVariants,fastq,90-8,90-8,Malignant Peripheral Nerve Sheath Tumor,pairedEnd,Neurofibromatosis type 1,Illumina HiSeq 2500,90-8,90-8,Agilent SureSelect Human All Exon V5,whole exome sequencing,Homo sapiens,Female,Yes,1,No,17,bulk cell
raw,genomicVariants,fastq,S462,S462,Malignant Peripheral Nerve Sheath Tumor,pairedEnd,Neurofibromatosis type 1,Illumina HiSeq 2500,S462,S462,Agilent SureSelect Human All Exon V5,whole exome sequencing,Homo sapiens,Female,Yes,1,No,19,bulk cell
