Column,Classification,Frequency,Example_Files,Schema_Status,Schema_Match
id,Computer Generated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),Id
dataSubtype,Computer Generated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),DataSubtype
dataType,Computer Generated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),DataType
fileFormat,Computer Generated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),FileFormat
individualID,Computer Generated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),IndividualID
resourceType,Computer Generated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),ResourceType
specimenID,Computer Generated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),SpecimenID
studyId,Computer Generated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),StudyId
tumorType,Computer Generated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),TumorType
nf1Genotype,Computer Generated,36,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),Nf1Genotype
nf2Genotype,Computer Generated,36,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),Nf2Genotype
cellType,Computer Generated,32,"nf_10.csv, nf_11.csv, nf_12.csv",Found (Case Insensitive),CellType
runType,Computer Generated,26,"nf_12.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),RunType
parentId,Computer Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),ParentId
createdOn,Computer Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),CreatedOn
createdBy,Computer Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),CreatedBy
etag,Computer Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),Etag
modifiedOn,Computer Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",NOT FOUND IN SCHEMA,
type,Computer Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),Type
benefactorId,Computer Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),BenefactorId
projectId,Computer Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",NOT FOUND IN SCHEMA,
currentVersion,Computer Generated,24,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),CurrentVersion
modifiedBy,Computer Generated,23,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),ModifiedBy
dataFileHandleId,Computer Generated,23,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),DataFileHandleId
diagnosis,Computer Generated,22,"nf_10.csv, nf_11.csv, nf_17.csv",Found (Case Insensitive),Diagnosis
readLength,Computer Generated,22,"nf_12.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),ReadLength
entityId,Computer Generated,21,"nf_1.csv, nf_12.csv, nf_21.csv",NOT FOUND IN SCHEMA,
studyName,Computer Generated,21,"nf_2.csv, nf_21.csv, nf_22.csv",Found (Case Insensitive),StudyName
platform,Computer Generated,20,"nf_12.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),Platform
readPairOrientation,Computer Generated,20,"nf_12.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),ReadPairOrientation
experimentalCondition,Computer Generated,20,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),ExperimentalCondition
dataFileSizeBytes,Computer Generated,19,"nf_13.csv, nf_14.csv, nf_15.csv",NOT FOUND IN SCHEMA,
dataFileMD5Hex,Computer Generated,17,"nf_13.csv, nf_14.csv, nf_15.csv",NOT FOUND IN SCHEMA,
transplantationType,Computer Generated,17,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),TransplantationType
parentSpecimenID,Computer Generated,15,"nf_1.csv, nf_2.csv, nf_3.csv",Found (Case Insensitive),ParentSpecimenID
accessType,Computer Generated,15,"nf_12.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),AccessType
eTag,Computer Generated,15,"nf_21.csv, nf_22.csv, nf_23.csv",Found (Case Insensitive),Etag
genePerturbationType,Computer Generated,14,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),GenePerturbationType
