File,Column,Category,Reason,Sample_Values,Name_Check,Data_Check
nf_1.csv,id,Computer Generated,Ends with ID,syn30058767 | syn30058789 | syn30058815,Ends with ID,Synapse ID format
nf_1.csv,dataSubtype,Computer Generated,Type field (often system-generated),processed | processed | processed,Type field (often system-generated),Human-readable format
nf_1.csv,dataType,Computer Generated,Type field (often system-generated),genomicVariants | genomicVariants | genomicVariants,Type field (often system-generated),Human-readable format
nf_1.csv,entityId,Computer Generated,Ends with ID,syn30058767 | syn30058789 | syn30058815,Ends with ID,Synapse ID format
nf_1.csv,fileFormat,Computer Generated,File format field,txt | txt | txt,File format field,Human-readable format
nf_1.csv,individualID,Computer Generated,Ends with ID,90-8 | HS-Sch-2 | sNF96.2,Ends with ID,Human-readable format
nf_1.csv,nf1Genotype,Computer Generated,Type field (often system-generated),-/- | +/- | -/-,Type field (often system-generated),Human-readable format
nf_1.csv,nf2Genotype,Computer Generated,Type field (often system-generated),Unknown | Unknown | Unknown,Type field (often system-generated),Human-readable format
nf_1.csv,parentSpecimenID,Computer Generated,Ends with ID,90-8 | HS-Sch-2 | sNF96.2,Ends with ID,Human-readable format
nf_1.csv,resourceType,Computer Generated,Type field (often system-generated),experimentalData | experimentalData | experimentalData,Type field (often system-generated),Human-readable format
nf_1.csv,specimenID,Computer Generated,Ends with ID,90-8 | HS-Sch-2 | sNF96.2,Ends with ID,Human-readable format
nf_1.csv,studyId,Computer Generated,Ends with ID,syn22392179 | syn22392179 | syn22392179,Ends with ID,Synapse ID format
nf_1.csv,tumorType,Computer Generated,Type field (often system-generated),Malignant Peripheral Nerve Sheath Tumor | Melanoma | Malignant Peripheral Nerve Sheath Tumor,Type field (often system-generated),Human-readable format
nf_1.csv,name,Likely Human,No computer-generated patterns detected,NF90-8.txt | HS-Sch-2.txt | sNF96.2.txt,Likely human-annotated,Human-readable format
nf_1.csv,age,Likely Human,No computer-generated patterns detected,17 | 54 | 27,Likely human-annotated,Human-readable format
nf_1.csv,ageUnit,Likely Human,No computer-generated patterns detected,years | years | years,Likely human-annotated,Human-readable format
nf_1.csv,assay,Likely Human,No computer-generated patterns detected,SNP array | SNP array | SNP array,Likely human-annotated,Human-readable format
nf_1.csv,diagnosis,Likely Human,No computer-generated patterns detected,Neurofibromatosis type 1 | Not Applicable | Neurofibromatosis type 1,Likely human-annotated,Human-readable format
nf_1.csv,fundingAgency,Likely Human,No computer-generated patterns detected,Fundación Proyecto Neurofibromatosis | Fundación Proyecto Neurofibromatosis | Fundación Proyecto Neurofibromatosis,Likely human-annotated,Human-readable format
nf_1.csv,initiative,Likely Human,No computer-generated patterns detected,Other | Other | Other,Likely human-annotated,Human-readable format
nf_1.csv,isCellLine,Likely Human,No computer-generated patterns detected,Yes | Yes | Yes,Likely human-annotated,Human-readable format
nf_1.csv,isPrimaryCell,Likely Human,No computer-generated patterns detected,No | No | No,Likely human-annotated,Human-readable format
nf_1.csv,isXenograft,Likely Human,No computer-generated patterns detected,No | No | No,Likely human-annotated,Human-readable format
nf_1.csv,modelSystemName,Likely Human,No computer-generated patterns detected,90-8 | HS-Sch-2 | sNF96.2,Likely human-annotated,Human-readable format
nf_1.csv,nucleicAcidSource,Likely Human,No computer-generated patterns detected,bulk cell | bulk cell | bulk cell,Likely human-annotated,Human-readable format
nf_1.csv,platform,Likely Human,No computer-generated patterns detected,Illumina HumanOmniExpress-24 v1.0 BeadChip | Illumina HumanOmniExpress-24 v1.0 BeadChip | Illumina HumanOmniExpress-24 v1.0 BeadChip,Likely human-annotated,Human-readable format
