name,dataSubtype,dataType,fileFormat,individualID,resourceType,specimenID,studyId,tumorType,nf1Genotype,nf2Genotype,cellType,diagnosis,studyName,drugScreenType,assay,species,fundingAgency,isCellLine,initiative,organ,tissue,isMultiIndividual,isMultiSpecimen
iPNF05.5_10x10_CCG_16h_calc.csv,processed,drugCombinationScreen,csv,ipNF05.5,experimentalData,ipNF05.5,syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPNF05.5_10x10_CCG_16h_metadata.csv,metadata,drugCombinationScreen,csv,ipNF05.5,experimentalData,ipNF05.5,syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPNF05.5_10x10_CCG_16h_responses.csv,processed,drugCombinationScreen,csv,ipNF05.5,experimentalData,ipNF05.5,syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPNF05.5_10x10_CTG_48h_calc.csv,processed,drugCombinationScreen,csv,ipNF05.5,experimentalData,ipNF05.5,syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPNF05.5_10x10_CTG_48h_metadata.csv,metadata,drugCombinationScreen,csv,ipNF05.5,experimentalData,ipNF05.5,syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPNF05.5_10x10_CTG_48h_responses.csv,processed,drugCombinationScreen,csv,ipNF05.5,experimentalData,ipNF05.5,syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPNF05.5_mixed_10x10_CCG_16h_calc.csv,processed,drugCombinationScreen,csv,ipNF05.5 (mixed clone),experimentalData,ipNF05.5 (mixed clone),syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPNF05.5_mixed_10x10_CCG_16h_metadata.csv,metadata,drugCombinationScreen,csv,ipNF05.5 (mixed clone),experimentalData,ipNF05.5 (mixed clone),syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPNF05.5_mixed_10x10_CCG_16h_responses.csv,processed,drugCombinationScreen,csv,ipNF05.5 (mixed clone),experimentalData,ipNF05.5 (mixed clone),syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPNF05.5_mixed_10x10_CTG_48h_calc.csv,processed,drugCombinationScreen,csv,ipNF05.5 (mixed clone),experimentalData,ipNF05.5 (mixed clone),syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPNF05.5_mixed_10x10_CTG_48h_metadata.csv,metadata,drugCombinationScreen,csv,ipNF05.5 (mixed clone),experimentalData,ipNF05.5 (mixed clone),syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPNF05.5_mixed_10x10_CTG_48h_responses.csv,processed,drugCombinationScreen,csv,ipNF05.5 (mixed clone),experimentalData,ipNF05.5 (mixed clone),syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPNF95.6_10x10_CCG_16h_calc.csv,processed,drugCombinationScreen,csv,ipNF95.6,experimentalData,ipNF95.6,syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPNF95.6_10x10_CCG_16h_metadata.csv,metadata,drugCombinationScreen,csv,ipNF95.6,experimentalData,ipNF95.6,syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPNF95.6_10x10_CCG_16h_responses.csv,processed,drugCombinationScreen,csv,ipNF95.6,experimentalData,ipNF95.6,syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPNF95.6_10x10_CTG_48h_calc.csv,processed,drugCombinationScreen,csv,ipNF95.6,experimentalData,ipNF95.6,syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPNF95.6_10x10_CTG_48h_metadata.csv,metadata,drugCombinationScreen,csv,ipNF95.6,experimentalData,ipNF95.6,syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPNF95.6_10x10_CTG_48h_responses.csv,processed,drugCombinationScreen,csv,ipNF95.6,experimentalData,ipNF95.6,syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
HFF_10x10_CCG_16h_calc.csv,processed,drugCombinationScreen,csv,HFF,experimentalData,HFF,syn4939906,,+/+,+/+,fibroblast,,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,foreskin,skin,No,Yes
HFF_10x10_CCG_16h_metadata.csv,metadata,drugCombinationScreen,csv,HFF,experimentalData,HFF,syn4939906,,+/+,+/+,fibroblast,,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,foreskin,skin,No,Yes
HFF_10x10_CCG_16h_responses.csv,processed,drugCombinationScreen,csv,HFF,experimentalData,HFF,syn4939906,,+/+,+/+,fibroblast,,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,foreskin,skin,No,Yes
HFF_10x10_CTG_48h_calc.csv,processed,drugCombinationScreen,csv,HFF,experimentalData,HFF,syn4939906,,+/+,+/+,fibroblast,,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,foreskin,skin,No,Yes
HFF_10x10_CTG_48h_metadata.csv,metadata,drugCombinationScreen,csv,HFF,experimentalData,HFF,syn4939906,,+/+,+/+,fibroblast,,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,foreskin,skin,No,Yes
HFF_10x10_CTG_48h_responses.csv,processed,drugCombinationScreen,csv,HFF,experimentalData,HFF,syn4939906,,+/+,+/+,fibroblast,,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,foreskin,skin,No,Yes
