name,dataSubtype,dataType,fileFormat,resourceType,studyId,nf1Genotype,modifiedBy,diagnosis,studyName,platform,assay,species,fundingAgency,organ,tissue
NF_Set1_0025_01Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set1_0050_01Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set1_0075_01Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set1_0100_01Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set1_0150_01Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set1_0200_01Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set1_0250_01Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set1_0300_01Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set1_0500_01Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set1_0750_01Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set1_1000_01Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set2_0025_03Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set2_0050_03Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set2_0075_03Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set2_0100_03Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set2_0150_03Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set2_0200_03Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set2_0250_03Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set2_0300_03Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set2_0500_03Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set2_0750_03Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set2_1000_03Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set3_0025_07Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set3_0050_07Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set3_0075_07Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set3_0100_07Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set3_0150_07Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set3_0200_07Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
