name,dataSubtype,dataType,fileFormat,individualID,resourceType,studyId,studyName,platform,Component,assay,species,fundingAgency,initiative
Image_749_erbb3sc285.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_750_Neg.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_748_erbb3sc81455.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_746_erbb3sc285.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_747_Neg.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_745_erbb3sc81455.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_735_erbb3sc285.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_736_Neg.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_734_erbb3sc81455.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_792_Neg.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
