name,dataSubtype,dataType,fileFormat,individualID,resourceType,studyId,runType,modifiedBy,readLength,platform,assay,species,fundingAgency,initiative,libraryPrep,nucleicAcidSource,readStrandOrigin,dissociationMethod
JH-2-009_PDX_trimmed_mk_dup_after_BQSR.bam,raw,genomicVariants,bam,JH-2-009,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
JH-2-009_Normal_trimmed_mk_dup_after_BQSR.bam,raw,genomicVariants,bam,JH-2-009,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
JH-2-009_Tumor_trimmed_mk_dup_after_BQSR.bam,raw,genomicVariants,bam,JH-2-009,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
WU-487_PDX_trimmed_mk_dup_after_BQSR.bam,raw,genomicVariants,bam,WU-487,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
WU-487_Normal_trimmed_merged_mkdup_after_BQSR.bam,raw,genomicVariants,bam,WU-487,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
WU-487_Tumor_trimmed_mk_dup_after_BQSR.bam,raw,genomicVariants,bam,WU-487,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
JH-2-079_PDX_trimmed_mk_dup_after_BQSR.bam,raw,genomicVariants,bam,JH-2-079c,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
JH-2-079_Tumor_trimmed_mk_dup_after_BQSR.bam,raw,genomicVariants,bam,JH-2-079c,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
MN2_PDX_trimmed_mk_dup_after_BQSR.bam,raw,genomicVariants,bam,MN-2,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
MN2_Normal_trimmed_merged_mkdup_after_BQSR.bam,raw,genomicVariants,bam,MN-2,experimentalData,syn21984813,pairedEnd,3421893,151.0,Illumina NovaSeq 6000,whole genome sequencing,Homo sapiens,"NFRI,NIH-NCI",MPNST Patient-Derived Model Centers,polyAselection,bulk cell,forward,none
