name,dataSubtype,dataType,fileFormat,resourceType,studyId,nf2Genotype,modifiedBy,diagnosis,studyName,accessType,assay,species,fundingAgency,isCellLine,initiative,progressReportNumber
202915420028_R07C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908420087_R05C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915420028_R01C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908420087_R04C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908540037_R04C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430125_R06C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908540037_R05C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430125_R03C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430050_R01C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430050_R02C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
