name,dataSubtype,dataType,fileFormat,individualID,resourceType,specimenID,studyId,nf2Genotype,cellType,runType,modifiedBy,diagnosis,studyName,platform,experimentalCondition,genePerturbationType,modelSystemName,assay,species,isCellLine,readPair,isPrimaryCell,libraryPrep,isMultiIndividual,isMultiSpecimen,isStranded,timePointUnit,genePerturbationTechnology,genePerturbed,compoundName,experimentalTimePoint
HS01_10.1.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_10,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,Brigatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,NF2,Brigatinib,24
HS01_10.2.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_10,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,Brigatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,NF2,Brigatinib,24
HS01_11.1.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_11,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Simvastatin",24
HS01_11.2.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_11,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Simvastatin",24
HS01_1.1.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_1,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,DMSO,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,NF2,DMSO,24
HS01_12.1.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_12,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Brigatinib",24
HS01_12.2.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_12,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Brigatinib",24
HS01_1.2.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_1,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,DMSO,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,NF2,DMSO,24
HS01_13.1.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_13,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,DMSO,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,NF2,DMSO,24
HS01_13.2.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_13,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,DMSO,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,NF2,DMSO,24
HS01_14.1.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_14,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,Dasatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,NF2,Dasatinib,24
HS01_14.2.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_14,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,Dasatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,NF2,Dasatinib,24
HS01_15.1.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_15,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,Simvastatin,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,NF2,Simvastatin,24
HS01_15.2.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_15,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,Simvastatin,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,NF2,Simvastatin,24
HS01_16.1.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_16,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,Brigatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,NF2,Brigatinib,24
HS01_16.2.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_16,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,Brigatinib,knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,NF2,Brigatinib,24
HS01_17.1.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_17,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Simvastatin",24
HS01_17.2.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_17,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Simvastatin",knockdown,HS01,RNA-seq,Homo sapiens,Yes,2,True,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Simvastatin",24
HS01_18.1.fastq.gz,raw,geneExpression,fastq,HS01,experimentalData,HS01_18,syn2343195,+/+,schwann,pairedEnd,3421893,Neurofibromatosis type 2,Synodos NF2,Illumina HiSeq 2500,"Dasatinib,Brigatinib",knockdown,HS01,RNA-seq,Homo sapiens,Yes,1,True,polyAselection,No,No,Yes,hours,RNAi,NF2,"Dasatinib,Brigatinib",24
