name,dataSubtype,dataType,fileFormat,individualID,resourceType,specimenID,studyId,tumorType,nf1Genotype,runType,modifiedBy,readLength,studyName,platform,genePerturbationType,Component,modelSystemName,assay,species,fundingAgency,initiative,progressReportNumber,specimenPreparationMethod,genePerturbationTechnology,genePerturbed,comments
GSM6124394,raw,chromatinActivity,fastq,H3K27me3_M3sgCon_1,experimentalData,H3K27me3_M3sgCon_1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3342573,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,NTAP,Francis S. Collins Scholars Program,6,Fresh collected,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX15212846
GSM6124395,raw,chromatinActivity,fastq,H3K27me3_M3sgCon_2,experimentalData,H3K27me3_M3sgCon_2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3342573,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,NTAP,Francis S. Collins Scholars Program,6,Fresh collected,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX15212847
GSM6124396,raw,chromatinActivity,fastq,H3K27me3_M3sgSUZ12_1,experimentalData,H3K27me3_M3sgSUZ12_1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3342573,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,knockout,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,NTAP,Francis S. Collins Scholars Program,6,Fresh collected,CRISPR,SUZ12,https://www.ncbi.nlm.nih.gov/sra?term=SRX15212848
GSM6124397,raw,chromatinActivity,fastq,H3K27me3_M3sgSUZ12_2,experimentalData,H3K27me3_M3sgSUZ12_2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3342573,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,knockout,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,NTAP,Francis S. Collins Scholars Program,6,Fresh collected,CRISPR,SUZ12,https://www.ncbi.nlm.nih.gov/sra?term=SRX15212849
GSM6124398,raw,chromatinActivity,fastq,H3K27ac_M3sgCon_1,experimentalData,H3K27ac_M3sgCon_1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3342573,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,NTAP,Francis S. Collins Scholars Program,6,Fresh collected,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX15212850
GSM6124399,raw,chromatinActivity,fastq,H3K27ac_M3sgCon_2,experimentalData,H3K27ac_M3sgCon_2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3342573,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,NTAP,Francis S. Collins Scholars Program,6,Fresh collected,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX15212851
GSM6124400,raw,chromatinActivity,fastq,H3K27ac_M3sgSUZ12_1,experimentalData,H3K27ac_M3sgSUZ12_1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3342573,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),EnVision 2103 Multiplate Reader,knockout,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,NTAP,Francis S. Collins Scholars Program,6,Fresh collected,CRISPR,SUZ12,https://www.ncbi.nlm.nih.gov/sra?term=SRX15212852
GSM6124401,raw,chromatinActivity,fastq,H3K27ac_M3sgSUZ12_2,experimentalData,H3K27ac_M3sgSUZ12_2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3342573,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,knockout,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,NTAP,Francis S. Collins Scholars Program,6,Fresh collected,CRISPR,SUZ12,https://www.ncbi.nlm.nih.gov/sra?term=SRX15212853
GSM6124402,raw,chromatinActivity,fastq,H3K36me2_M3sgCon_1,experimentalData,H3K36me2_M3sgCon_1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3342573,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,NTAP,Francis S. Collins Scholars Program,6,Fresh collected,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX15212854
GSM6124403,raw,chromatinActivity,fastq,H3K36me2_M3sgCon_2,experimentalData,H3K36me2_M3sgCon_2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3342573,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,NTAP,Francis S. Collins Scholars Program,6,Fresh collected,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX15212855
GSM6124404,raw,chromatinActivity,fastq,H3K36me2_M3sgSUZ12_1,experimentalData,H3K36me2_M3sgSUZ12_1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3342573,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,knockout,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,NTAP,Francis S. Collins Scholars Program,6,Fresh collected,CRISPR,SUZ12,https://www.ncbi.nlm.nih.gov/sra?term=SRX15212856
GSM6124405,raw,chromatinActivity,fastq,H3K36me2_M3sgSUZ12_2,experimentalData,H3K36me2_M3sgSUZ12_2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3342573,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,knockout,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,NTAP,Francis S. Collins Scholars Program,6,Fresh collected,CRISPR,SUZ12,https://www.ncbi.nlm.nih.gov/sra?term=SRX15212857
GSM6124406,raw,chromatinActivity,fastq,H3K36me3_M3sgCon_1,experimentalData,H3K36me3_M3sgCon_1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3342573,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,NTAP,Francis S. Collins Scholars Program,6,Fresh collected,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX15212858
GSM6124407,raw,chromatinActivity,fastq,H3K36me3_M3sgCon_2,experimentalData,H3K36me3_M3sgCon_2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3342573,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,NTAP,Francis S. Collins Scholars Program,6,Fresh collected,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX15212859
GSM6124408,raw,chromatinActivity,fastq,H3K36me3_M3sgSUZ12_1,experimentalData,H3K36me3_M3sgSUZ12_1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3342573,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,knockout,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,NTAP,Francis S. Collins Scholars Program,6,Fresh collected,CRISPR,SUZ12,https://www.ncbi.nlm.nih.gov/sra?term=SRX15212860
GSM6124409,raw,chromatinActivity,fastq,H3K36me3_M3sgSUZ12_2,experimentalData,H3K36me3_M3sgSUZ12_2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3342573,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,knockout,GenomicsAssayTemplateExtended,M3 MPNST,CUT&RUN,Homo sapiens,NTAP,Francis S. Collins Scholars Program,6,Fresh collected,CRISPR,SUZ12,https://www.ncbi.nlm.nih.gov/sra?term=SRX15212861
