name,dataSubtype,dataType,fileFormat,individualID,resourceType,specimenID,studyId,tumorType,nf1Genotype,runType,modifiedBy,diagnosis,readLength,studyName,platform,experimentalCondition,genePerturbationType,Component,modelSystemName,assay,species,fundingAgency,initiative,nucleicAcidSource,timePointUnit,progressReportNumber,specimenPreparationMethod,dissociationMethod,genePerturbationTechnology,genePerturbed,comments,experimentalTimepoint
GSM5429602,raw,chromatinActivity,fastq,M3_sgCon_rep1,experimentalData,M3_sgCon_rep1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,PBS,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,NTAP,Francis S. Collins Scholars Program,bulk cell,,6,Fresh collected,none,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX11376893,24
GSM5429603,raw,chromatinActivity,fastq,M3_sgCon_rep2,experimentalData,M3_sgCon_rep2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,PBS,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,NTAP,Francis S. Collins Scholars Program,bulk cell,,6,Fresh collected,none,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX11376894,24
GSM5429604,raw,chromatinActivity,fastq,M3_sgSUZ12_rep1,experimentalData,M3_sgSUZ12_rep1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,PBS,knockout,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,NTAP,Francis S. Collins Scholars Program,bulk cell,,6,Fresh collected,none,CRISPR,SUZ12,https://www.ncbi.nlm.nih.gov/sra?term=SRX11376895,24
GSM5429605,raw,chromatinActivity,fastq,M3_sgSUZ12_rep2,experimentalData,M3_sgSUZ12_rep2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,PBS,knockout,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,NTAP,Francis S. Collins Scholars Program,bulk cell,,6,Fresh collected,none,CRISPR,SUZ12,https://www.ncbi.nlm.nih.gov/sra?term=SRX11376896,24
GSM5429606,raw,chromatinActivity,fastq,G1_M3_sgCon_rep1,experimentalData,G1_M3_sgCon_rep1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,PBS,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,NTAP,Francis S. Collins Scholars Program,bulk cell,,6,Fresh collected,none,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX11376897,24
GSM5429607,raw,chromatinActivity,fastq,G1_M3_sgCon_rep2,experimentalData,G1_M3_sgCon_rep2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,PBS,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,NTAP,Francis S. Collins Scholars Program,bulk cell,,6,Fresh collected,none,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX11376898,24
GSM5429608,raw,chromatinActivity,fastq,G2_M3_sgSUZ12_rep1,experimentalData,G2_M3_sgSUZ12_rep1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,PBS,knockout,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,NTAP,Francis S. Collins Scholars Program,bulk cell,,6,Fresh collected,none,CRISPR,SUZ12,https://www.ncbi.nlm.nih.gov/sra?term=SRX11376899,24
GSM5429609,raw,chromatinActivity,fastq,G2_M3_sgSUZ12_rep2,experimentalData,G2_M3_sgSUZ12_rep2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,PBS,knockout,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,NTAP,Francis S. Collins Scholars Program,bulk cell,,6,Fresh collected,none,CRISPR,SUZ12,https://www.ncbi.nlm.nih.gov/sra?term=SRX11376900,24
GSM5429610,raw,chromatinActivity,fastq,G3_M3_sgCon_IFNγ_rep1,experimentalData,G3_M3_sgCon_IFNγ_rep1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,10 ng/ml IFNγ stimulation for 24 hr,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,NTAP,Francis S. Collins Scholars Program,bulk cell,hours,6,Fresh collected,none,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX11376901,24
GSM5429611,raw,chromatinActivity,fastq,G3_M3_sgCon_IFNγ_rep2,experimentalData,G3_M3_sgCon_IFNγ_rep2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,10 ng/ml IFNγ stimulation for 24 hr,non-targeting control,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,NTAP,Francis S. Collins Scholars Program,bulk cell,hours,6,Fresh collected,none,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX11376902,24
GSM5429612,raw,chromatinActivity,fastq,G4_M3_sgSUZ12_IFNγ_rep1,experimentalData,G4_M3_sgSUZ12_IFNγ_rep1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,10 ng/ml IFNγ stimulation for 24 hr,knockout,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,NTAP,Francis S. Collins Scholars Program,bulk cell,hours,6,Fresh collected,none,CRISPR,SUZ12,https://www.ncbi.nlm.nih.gov/sra?term=SRX11376903,24
GSM5429613,raw,chromatinActivity,fastq,G4_M3_sgSUZ12_IFNγ_rep2,experimentalData,G4_M3_sgSUZ12_IFNγ_rep2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,10 ng/ml IFNγ stimulation for 24 hr,knockout,GenomicsAssayTemplateExtended,M3 MPNST,ATAC-seq,Homo sapiens,NTAP,Francis S. Collins Scholars Program,bulk cell,hours,6,Fresh collected,none,CRISPR,SUZ12,https://www.ncbi.nlm.nih.gov/sra?term=SRX11376904,24
