name,dataSubtype,dataType,fileFormat,individualID,resourceType,specimenID,studyId,tumorType,nf1Genotype,runType,modifiedBy,diagnosis,readLength,studyName,platform,experimentalCondition,genePerturbationType,Component,libraryPreparationMethod,modelSystemName,assay,species,fundingAgency,isCellLine,initiative,nucleicAcidSource,timePointUnit,progressReportNumber,specimenPreparationMethod,genePerturbationTechnology,genePerturbed,comments,experimentalTimepoint
GSM5420957,raw,chromatinActivity,fastq,sgCon_DMSO_methyl_rep1,experimentalData,sgCon_DMSO_methyl_rep1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,DMSO,non-targeting control,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,bulk cell,days,6,Fresh collected,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364766,4
GSM5420958,raw,chromatinActivity,fastq,sgCon_DMSO_methyl_rep2,experimentalData,sgCon_DMSO_methyl_rep2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,DMSO,non-targeting control,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,bulk cell,days,6,Fresh collected,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364767,4
GSM5420959,raw,chromatinActivity,fastq,sgCon_PBS_methyl_rep1,experimentalData,sgCon_PBS_methyl_rep1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,PBS,non-targeting control,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,bulk cell,days,6,Fresh collected,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364768,4
GSM5420960,raw,chromatinActivity,fastq,sgCon_PBS_methyl_rep2,experimentalData,sgCon_PBS_methyl_rep2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,PBS,non-targeting control,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,bulk cell,days,6,Fresh collected,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364769,4
GSM5420961,raw,chromatinActivity,fastq,sgCon_GSK862_methyl_rep1,experimentalData,sgCon_GSK862_methyl_rep1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,4000 nM GSK862,non-targeting control,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,bulk cell,days,6,Fresh collected,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364770,4
GSM5420962,raw,chromatinActivity,fastq,sgCon_GSK862_methyl_rep2,experimentalData,sgCon_GSK862_methyl_rep2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,4000 nM GSK862,non-targeting control,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,bulk cell,days,6,Fresh collected,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364771,4
GSM5420963,raw,chromatinActivity,fastq,sgCon_DAC_methyl_rep1,experimentalData,sgCon_DAC_methyl_rep1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,50 nM Decitabine (DAC),non-targeting control,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,bulk cell,days,6,Fresh collected,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364773,4
GSM5420964,raw,chromatinActivity,fastq,sgCon_DAC_methyl_rep2,experimentalData,sgCon_DAC_methyl_rep2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,50 nM Decitabine (DAC),non-targeting control,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,bulk cell,days,6,Fresh collected,CRISPR,,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364774,4
GSM5420965,raw,chromatinActivity,fastq,sgSUZ12_DMSO_methyl_rep1,experimentalData,sgSUZ12_DMSO_methyl_rep1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,DMSO,knockout,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,bulk cell,days,6,Fresh collected,CRISPR,SUZ12,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364775,4
GSM5420966,raw,chromatinActivity,fastq,sgSUZ12_DMSO_methyl_rep2,experimentalData,sgSUZ12_DMSO_methyl_rep2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,100,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,DMSO,knockout,GenomicsAssayTemplateExtended,KAPA HyperPrep Kit PCR-free,M3 MPNST,bisulfite sequencing,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,bulk cell,days,6,Fresh collected,CRISPR,SUZ12,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364776,4
