name,dataSubtype,dataType,fileFormat,individualID,resourceType,specimenID,studyId,tumorType,modifiedBy,studyName,platform,Component,assay,species,fundingAgency,isCellLine,initiative,tissue,progressReportNumber,comments
GSM6255852,raw,geneExpression,fastq,MPNST-1,experimentalData,MPNST-1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806000
GSM6255853,raw,geneExpression,fastq,MPNST-2,experimentalData,MPNST-2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806001
GSM6255854,raw,geneExpression,fastq,MPNST-3,experimentalData,MPNST-3,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806002
GSM6255855,raw,geneExpression,fastq,MPNST-4,experimentalData,MPNST-4,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806003
GSM6255856,raw,geneExpression,fastq,MPNST-5,experimentalData,MPNST-5,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806004
GSM6255857,raw,geneExpression,fastq,MPNST-6,experimentalData,MPNST-6,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806005
GSM6255858,raw,geneExpression,fastq,MPNST-7,experimentalData,MPNST-7,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806006
GSM6255859,raw,geneExpression,fastq,MPNST-8,experimentalData,MPNST-8,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806007
GSM6255860,raw,geneExpression,fastq,MPNST-9,experimentalData,MPNST-9,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806008
GSM6255861,raw,geneExpression,fastq,MPNST-10,experimentalData,MPNST-10,syn11681835,Malignant Peripheral Nerve Sheath Tumor,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,GenomicsAssayTemplateExtended,RNA-seq,Homo sapiens,NTAP,No,Francis S. Collins Scholars Program,primary tumor,6.0,https://www.ncbi.nlm.nih.gov/sra?term=SRX15806009
