name,dataSubtype,dataType,fileFormat,individualID,resourceType,specimenID,studyId,tumorType,nf1Genotype,runType,modifiedBy,diagnosis,readLength,studyName,platform,experimentalCondition,genePerturbationType,Component,libraryPreparationMethod,modelSystemName,assay,species,fundingAgency,isCellLine,initiative,libraryPrep,nucleicAcidSource,isStranded,timePointUnit,progressReportNumber,specimenPreparationMethod,genePerturbationTechnology,comments,experimentalTimepoint
GSM5420941,raw,geneExpression,fastq,sgCon_DMSO_rep1,experimentalData,sgCon_DMSO_rep1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,50.0,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,DMSO,non-targeting control,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,polyAselection,bulk cell,Yes,days,6.0,Fresh collected,CRISPR,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364647,4.0
GSM5420942,raw,geneExpression,fastq,sgCon_DMSO_rep2,experimentalData,sgCon_DMSO_rep2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,50.0,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,DMSO,non-targeting control,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,polyAselection,bulk cell,Yes,days,6.0,Fresh collected,CRISPR,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364648,4.0
GSM5420943,raw,geneExpression,fastq,sgCon_PBS_rep1,experimentalData,sgCon_PBS_rep1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,50.0,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,PBS,non-targeting control,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,polyAselection,bulk cell,Yes,days,6.0,Fresh collected,CRISPR,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364649,4.0
GSM5420944,raw,geneExpression,fastq,sgCon_PBS_rep2,experimentalData,sgCon_PBS_rep2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,50.0,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,PBS,non-targeting control,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,polyAselection,bulk cell,Yes,days,6.0,Fresh collected,CRISPR,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364650,4.0
GSM5420945,raw,geneExpression,fastq,sgCon_GSK862_rep1,experimentalData,sgCon_GSK862_rep1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,50.0,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,4000 nM GSK862,non-targeting control,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,polyAselection,bulk cell,Yes,days,6.0,Fresh collected,CRISPR,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364651,4.0
GSM5420946,raw,geneExpression,fastq,sgCon_GSK862_rep2,experimentalData,sgCon_GSK862_rep2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,50.0,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,4000 nM GSK862,non-targeting control,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,polyAselection,bulk cell,Yes,days,6.0,Fresh collected,CRISPR,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364652,4.0
GSM5420947,raw,geneExpression,fastq,sgCon_DAC_rep1,experimentalData,sgCon_DAC_rep1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,50.0,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,50 nM Decitabine (DAC),non-targeting control,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,polyAselection,bulk cell,Yes,days,6.0,Fresh collected,CRISPR,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364653,4.0
GSM5420948,raw,geneExpression,fastq,sgCon_DAC_rep2,experimentalData,sgCon_DAC_rep2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,50.0,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,50 nM Decitabine (DAC),non-targeting control,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,polyAselection,bulk cell,Yes,days,6.0,Fresh collected,CRISPR,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364654,4.0
GSM5420949,raw,geneExpression,fastq,sgSUZ12_DMSO_rep1,experimentalData,sgSUZ12_DMSO_rep1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,50.0,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,DMSO,knockdown,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,polyAselection,bulk cell,Yes,days,6.0,Fresh collected,CRISPR,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364655,4.0
GSM5420950,raw,geneExpression,fastq,sgSUZ12_DMSO_rep2,experimentalData,sgSUZ12_DMSO_rep2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,50.0,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,DMSO,knockdown,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,polyAselection,bulk cell,Yes,days,6.0,Fresh collected,CRISPR,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364656,4.0
GSM5420951,raw,geneExpression,fastq,sgSUZ12_PBS_rep1,experimentalData,sgSUZ12_PBS_rep1,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,50.0,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,PBS,knockdown,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,polyAselection,bulk cell,Yes,days,6.0,Fresh collected,CRISPR,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364657,4.0
GSM5420952,raw,geneExpression,fastq,sgSUZ12_PBS_rep2,experimentalData,sgSUZ12_PBS_rep2,syn11681835,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,3421893,Neurofibromatosis type 1,50.0,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),Illumina HiSeq 2500,PBS,knockdown,GenomicsAssayTemplateExtended,TruSeq,M3 MPNST,RNA-seq,Homo sapiens,NTAP,Yes,Francis S. Collins Scholars Program,polyAselection,bulk cell,Yes,days,6.0,Fresh collected,CRISPR,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364658,4.0
