name,studyId,modifiedBy,studyName,fundingAgency,initiative
GSM5429641,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
GSM5429642,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
GSM5429643,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
GSM5429644,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
GSM5429645,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
GSM5429646,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
GSM5429647,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
GSM5429648,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
GSM5429649,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
GSM5429650,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
GSM5429651,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
GSM5429652,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
synapse_storage_manifest.csv,syn11681835,3423450,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067142.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067143.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067144.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067145.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067146.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067147.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067148.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067149.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067150.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067151.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067152.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067153.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067154.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067155.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067156.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067157.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067158.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067159.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067160.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067161.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067162.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067163.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067164.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067165.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067166.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067167.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067168.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067169.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067170.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067171.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067172.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067173.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067174.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067175.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067176.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067177.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067178.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067179.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067180.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067181.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067182.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
SRR15067183.fastq.gz,syn11681835,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),NTAP,Francis S. Collins Scholars Program
