name,dataSubtype,dataType,fileFormat,individualID,resourceType,specimenID,studyId,tumorType,nf1Genotype,runType,diagnosis,studyName,platform,parentSpecimenID,modelSystemName,assay,species,fundingAgency,sex,isCellLine,initiative,readPair,isPrimaryCell,age,nucleicAcidSource,ageUnit
S462_2.fastq.gz,raw,genomicVariants,fastq,S462,experimentalData,S462,syn22392179,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,Genomic Characterization of MPNST Cell Lines,BGISEQ-500,S462,S462,whole genome sequencing,Homo sapiens,Fundación Proyecto Neurofibromatosis,Female,Yes,Other,2,No,19.0,bulk cell,years
STS-26T_2.fastq.gz,raw,genomicVariants,fastq,STS-26T,experimentalData,STS-26T,syn22392179,Melanoma,+/-,pairedEnd,Not Applicable,Genomic Characterization of MPNST Cell Lines,BGISEQ-500,STS-26T,STS-26T,whole genome sequencing,Homo sapiens,Fundación Proyecto Neurofibromatosis,Female,Yes,Other,2,No,51.0,bulk cell,years
HS-PSS_2.fastq.gz,raw,genomicVariants,fastq,HS-PSS,experimentalData,HS-PSS,syn22392179,Sarcoma,+/+,pairedEnd,Not Applicable,Genomic Characterization of MPNST Cell Lines,BGISEQ-500,HS-PSS,HS-PSS,whole genome sequencing,Homo sapiens,Fundación Proyecto Neurofibromatosis,Male,Yes,Other,2,No,,bulk cell,
HS-Sch-2_1.fastq.gz,raw,genomicVariants,fastq,HS-Sch-2,experimentalData,HS-Sch-2,syn22392179,Melanoma,+/-,pairedEnd,Not Applicable,Genomic Characterization of MPNST Cell Lines,BGISEQ-500,HS-Sch-2,HS-Sch-2,whole genome sequencing,Homo sapiens,Fundación Proyecto Neurofibromatosis,Female,Yes,Other,1,No,54.0,bulk cell,years
sNF96.2_2.fastq.gz,raw,genomicVariants,fastq,sNF96.2,experimentalData,sNF96.2,syn22392179,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,Genomic Characterization of MPNST Cell Lines,BGISEQ-500,sNF96.2,sNF96.2,whole genome sequencing,Homo sapiens,Fundación Proyecto Neurofibromatosis,Male,Yes,Other,2,No,27.0,bulk cell,years
HS-PSS_1.fastq.gz,raw,genomicVariants,fastq,HS-PSS,experimentalData,HS-PSS,syn22392179,Sarcoma,+/+,pairedEnd,Not Applicable,Genomic Characterization of MPNST Cell Lines,BGISEQ-500,HS-PSS,HS-PSS,whole genome sequencing,Homo sapiens,Fundación Proyecto Neurofibromatosis,Male,Yes,Other,1,No,,bulk cell,
STS-26T_1.fastq.gz,raw,genomicVariants,fastq,STS-26T,experimentalData,STS-26T,syn22392179,Melanoma,+/-,pairedEnd,Not Applicable,Genomic Characterization of MPNST Cell Lines,BGISEQ-500,STS-26T,STS-26T,whole genome sequencing,Homo sapiens,Fundación Proyecto Neurofibromatosis,Female,Yes,Other,1,No,51.0,bulk cell,years
ST88-14_2.fastq.gz,raw,genomicVariants,fastq,ST88-14,experimentalData,ST88-14,syn22392179,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,Genomic Characterization of MPNST Cell Lines,BGISEQ-500,ST88-14,ST88-14,whole genome sequencing,Homo sapiens,Fundación Proyecto Neurofibromatosis,Male,Yes,Other,2,No,24.0,bulk cell,years
S462_1.fastq.gz,raw,genomicVariants,fastq,S462,experimentalData,S462,syn22392179,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,Genomic Characterization of MPNST Cell Lines,BGISEQ-500,S462,S462,whole genome sequencing,Homo sapiens,Fundación Proyecto Neurofibromatosis,Female,Yes,Other,1,No,19.0,bulk cell,years
ST88-14_1.fastq.gz,raw,genomicVariants,fastq,ST88-14,experimentalData,ST88-14,syn22392179,Malignant Peripheral Nerve Sheath Tumor,-/-,pairedEnd,Neurofibromatosis type 1,Genomic Characterization of MPNST Cell Lines,BGISEQ-500,ST88-14,ST88-14,whole genome sequencing,Homo sapiens,Fundación Proyecto Neurofibromatosis,Male,Yes,Other,1,No,24.0,bulk cell,years
