name,dataSubtype,dataType,fileFormat,individualID,resourceType,specimenID,studyId,tumorType,diagnosis,studyName,platform,parentSpecimenID,aliquotID,modelSystemName,assay,species,fundingAgency,sex,isCellLine,initiative,isPrimaryCell,age,nucleicAcidSource,ageUnit
205023290165_R06C01_Grn.idat,raw,chromatinActivity,idat,S462,experimentalData,S462,syn22392179,Malignant Peripheral Nerve Sheath Tumor,Neurofibromatosis type 1,Genomic Characterization of MPNST Cell Lines,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),S462,S462,S462,methylation array,Homo sapiens,Fundación Proyecto Neurofibromatosis,Female,Yes,Other,No,19.0,bulk cell,years
205023290165_R06C01_Red.idat,raw,chromatinActivity,idat,S462,experimentalData,S462,syn22392179,Malignant Peripheral Nerve Sheath Tumor,Neurofibromatosis type 1,Genomic Characterization of MPNST Cell Lines,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),S462,S462,S462,methylation array,Homo sapiens,Fundación Proyecto Neurofibromatosis,Female,Yes,Other,No,19.0,bulk cell,years
205023290165_R07C01_Grn.idat,raw,chromatinActivity,idat,ST88-14,experimentalData,ST88-14,syn22392179,Malignant Peripheral Nerve Sheath Tumor,Neurofibromatosis type 1,Genomic Characterization of MPNST Cell Lines,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),ST88-14,ST88-14,ST88-14,methylation array,Homo sapiens,Fundación Proyecto Neurofibromatosis,Male,Yes,Other,No,24.0,bulk cell,years
205023290165_R07C01_Red.idat,raw,chromatinActivity,idat,ST88-14,experimentalData,ST88-14,syn22392179,Malignant Peripheral Nerve Sheath Tumor,Neurofibromatosis type 1,Genomic Characterization of MPNST Cell Lines,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),ST88-14,ST88-14,ST88-14,methylation array,Homo sapiens,Fundación Proyecto Neurofibromatosis,Male,Yes,Other,No,24.0,bulk cell,years
205049780004_R06C01_Grn.idat,raw,chromatinActivity,idat,90-8,experimentalData,90-8,syn22392179,Malignant Peripheral Nerve Sheath Tumor,Neurofibromatosis type 1,Genomic Characterization of MPNST Cell Lines,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),90-8,90-8,90-8,methylation array,Homo sapiens,Fundación Proyecto Neurofibromatosis,Female,Yes,Other,No,17.0,bulk cell,years
205049780004_R06C01_Red.idat,raw,chromatinActivity,idat,90-8,experimentalData,90-8,syn22392179,Malignant Peripheral Nerve Sheath Tumor,Neurofibromatosis type 1,Genomic Characterization of MPNST Cell Lines,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),90-8,90-8,90-8,methylation array,Homo sapiens,Fundación Proyecto Neurofibromatosis,Female,Yes,Other,No,17.0,bulk cell,years
205049780004_R07C01_Grn.idat,raw,chromatinActivity,idat,sNF96.2,experimentalData,sNF96.2,syn22392179,Malignant Peripheral Nerve Sheath Tumor,Neurofibromatosis type 1,Genomic Characterization of MPNST Cell Lines,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),sNF96.2,sNF96.2,sNF96.2,methylation array,Homo sapiens,Fundación Proyecto Neurofibromatosis,Male,Yes,Other,No,27.0,bulk cell,years
205049780004_R07C01_Red.idat,raw,chromatinActivity,idat,sNF96.2,experimentalData,sNF96.2,syn22392179,Malignant Peripheral Nerve Sheath Tumor,Neurofibromatosis type 1,Genomic Characterization of MPNST Cell Lines,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),sNF96.2,sNF96.2,sNF96.2,methylation array,Homo sapiens,Fundación Proyecto Neurofibromatosis,Male,Yes,Other,No,27.0,bulk cell,years
205049780004_R08C01_Grn.idat,raw,chromatinActivity,idat,NMS-2,experimentalData,NMS-2,syn22392179,Malignant Peripheral Nerve Sheath Tumor,Neurofibromatosis type 1,Genomic Characterization of MPNST Cell Lines,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),NMS-2,NMS-2,NMS-2,methylation array,Homo sapiens,Fundación Proyecto Neurofibromatosis,Male,Yes,Other,No,30.0,bulk cell,years
205049780004_R08C01_Red.idat,raw,chromatinActivity,idat,NMS-2,experimentalData,NMS-2,syn22392179,Malignant Peripheral Nerve Sheath Tumor,Neurofibromatosis type 1,Genomic Characterization of MPNST Cell Lines,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),NMS-2,NMS-2,NMS-2,methylation array,Homo sapiens,Fundación Proyecto Neurofibromatosis,Male,Yes,Other,No,30.0,bulk cell,years
205049780005_R01C01_Grn.idat,raw,chromatinActivity,idat,STS-26T,experimentalData,STS-26T,syn22392179,Melanoma,Not Applicable,Genomic Characterization of MPNST Cell Lines,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),STS-26T,STS-26T,STS-26T,methylation array,Homo sapiens,Fundación Proyecto Neurofibromatosis,Female,Yes,Other,No,51.0,bulk cell,years
205049780005_R01C01_Red.idat,raw,chromatinActivity,idat,STS-26T,experimentalData,STS-26T,syn22392179,Melanoma,Not Applicable,Genomic Characterization of MPNST Cell Lines,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),STS-26T,STS-26T,STS-26T,methylation array,Homo sapiens,Fundación Proyecto Neurofibromatosis,Female,Yes,Other,No,51.0,bulk cell,years
205049780005_R02C01_Grn.idat,raw,chromatinActivity,idat,HS-Sch-2,experimentalData,HS-Sch-2,syn22392179,Melanoma,Not Applicable,Genomic Characterization of MPNST Cell Lines,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),HS-Sch-2,HS-Sch-2,HS-Sch-2,methylation array,Homo sapiens,Fundación Proyecto Neurofibromatosis,Female,Yes,Other,No,54.0,bulk cell,years
