id,name,individualID,specimenID,Resource_id,assay,cellType,dataSubtype,dataType,diagnosis,disease,drugScreenType,fileFormat,isCellLine,isMultiIndividual,isMultiSpecimen,nf1Genotype,nf2Genotype,organ,resourceType,species,tissue,tumorType,fundingAgency,initiative,studyId,studyName
syn5613581,iPN02.3l_6x6_CTG_48h_calc.csv,ipn02.3,ipn02.3,3a507bfd-7d2b-4238-b79a-83fe985c2cea,cell viability assay,cultured cell,processed,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,+/+,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613582,iPN02.3l_6x6_CTG_48h_metadata.csv,ipn02.3,ipn02.3,3a507bfd-7d2b-4238-b79a-83fe985c2cea,cell viability assay,cultured cell,metadata,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,+/+,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613583,iPN02.3l_6x6_CTG_48h_responses.csv,ipn02.3,ipn02.3,3a507bfd-7d2b-4238-b79a-83fe985c2cea,cell viability assay,cultured cell,processed,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,+/+,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613587,ipNF05.5_6x6_CTG_48h_calc.csv,ipNF05.5,ipNF05.5,5502caf5-4cf1-418f-bf50-164cfa316b0f,cell viability assay,cultured cell,processed,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613588,ipNF05.5_6x6_CTG_48h_metadata.csv,ipNF05.5,ipNF05.5,5502caf5-4cf1-418f-bf50-164cfa316b0f,cell viability assay,cultured cell,metadata,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613589,ipNF05.5_6x6_CTG_48h_responses.csv,ipNF05.5,ipNF05.5,5502caf5-4cf1-418f-bf50-164cfa316b0f,cell viability assay,cultured cell,processed,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613590,iPNF05.5_mixed_6x6_CTG_48h_calc.csv,ipNF05.5 (mixed clone),ipNF05.5 (mixed clone),844b598c-0171-4972-91c3-27aa21b45d52,cell viability assay,cultured cell,processed,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613591,iPNF05.5_mixed_6x6_CTG_48h_metadata.csv,ipNF05.5 (mixed clone),ipNF05.5 (mixed clone),844b598c-0171-4972-91c3-27aa21b45d52,cell viability assay,cultured cell,metadata,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613592,iPNF05.5_mixed_6x6_CTG_48h_responses.csv,ipNF05.5 (mixed clone),ipNF05.5 (mixed clone),844b598c-0171-4972-91c3-27aa21b45d52,cell viability assay,cultured cell,processed,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613593,ipNF95.6_6x6_CTG_48h_calc.csv,ipNF95.6,ipNF95.6,b44361f2-9021-4920-901a-b1a1f9143f97,cell viability assay,cultured cell,processed,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
