id,name,Resource_id,accessTeam,accessType,assay,cellType,dataSubtype,dataType,diagnosis,entityId,fileFormat,fundingAgency,individualID,initiative,isCellLine,isMultiIndividual,isMultiSpecimen,isStranded,libraryPrep,modelSystemName,nf1Genotype,nf2Genotype,nucleicAcidSource,organ,platform,readLength,readPair,readPairOrientation,readStrandOrigin,resourceType,runType,sex,species,specimenID,specimenPreparationMethod,studyId,studyName,tissue,tumorType
syn18468126,C856CANXX_1_0_1.fastq.gz,844b598c-0171-4972-91c3-27aa21b45d52,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 1,syn18468126,fastq,NTAP,hTERT NF1 ipNF05.5 (Mixed clones),Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,hTERT NF1 ipNF05.5 (Mixed clones),-/-,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,1,inward,reverse,experimentalData,pairedEnd,Male,Homo sapiens,hTERT NF1 ipNF05.5 (Mixed clones),Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,Plexiform Neurofibroma
syn18468127,C856CANXX_1_0_2.fastq.gz,844b598c-0171-4972-91c3-27aa21b45d52,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 1,syn18468127,fastq,NTAP,hTERT NF1 ipNF05.5 (Mixed clones),Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,hTERT NF1 ipNF05.5 (Mixed clones),-/-,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,2,inward,reverse,experimentalData,pairedEnd,Male,Homo sapiens,hTERT NF1 ipNF05.5 (Mixed clones),Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,Plexiform Neurofibroma
syn18468128,C856CANXX_2_0_1.fastq.gz,3a507bfd-7d2b-4238-b79a-83fe985c2cea,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Not Applicable,syn18468128,fastq,NTAP,hTERT NF1 ipn02.3 2λ,Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,hTERT NF1 ipn02.3 2λ,+/+,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,1,inward,reverse,experimentalData,pairedEnd,Female,Homo sapiens,hTERT NF1 ipn02.3 2λ,Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,NA
syn18468129,C856CANXX_2_0_2.fastq.gz,3a507bfd-7d2b-4238-b79a-83fe985c2cea,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Not Applicable,syn18468129,fastq,NTAP,hTERT NF1 ipn02.3 2λ,Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,hTERT NF1 ipn02.3 2λ,+/+,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,2,inward,reverse,experimentalData,pairedEnd,Female,Homo sapiens,hTERT NF1 ipn02.3 2λ,Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,NA
syn18468130,C856CANXX_3_0_1.fastq.gz,2c4c8b02-f12e-4a17-a408-38ae88dd841d,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 1,syn18468130,fastq,NTAP,hTERT NF1 ipnNF95.11c,Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,hTERT NF1 ipnNF95.11c,+/?,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,1,inward,reverse,experimentalData,pairedEnd,Male,Homo sapiens,hTERT NF1 ipnNF95.11c,Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,Plexiform Neurofibroma
syn18468131,C856CANXX_3_0_2.fastq.gz,2c4c8b02-f12e-4a17-a408-38ae88dd841d,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 1,syn18468131,fastq,NTAP,hTERT NF1 ipnNF95.11c,Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,hTERT NF1 ipnNF95.11c,+/?,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,2,inward,reverse,experimentalData,pairedEnd,Male,Homo sapiens,hTERT NF1 ipnNF95.11c,Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,Plexiform Neurofibroma
syn18468133,C8581ANXX_1_0_1.fastq.gz,NA,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 1,syn18468133,fastq,NTAP,pNF05.5,Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,NA,-/-,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,1,inward,reverse,experimentalData,pairedEnd,Male,Homo sapiens,pNF05.5,Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,Plexiform Neurofibroma
syn18468134,C8581ANXX_1_0_2.fastq.gz,NA,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 1,syn18468134,fastq,NTAP,pNF05.5,Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,NA,-/-,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,2,inward,reverse,experimentalData,pairedEnd,Male,Homo sapiens,pNF05.5,Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,Plexiform Neurofibroma
syn18468135,C8581ANXX_2_0_1.fastq.gz,NA,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 1,syn18468135,fastq,NTAP,pNF95.11bC,Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,NA,-/-,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,1,inward,reverse,experimentalData,pairedEnd,Male,Homo sapiens,pNF95.11bC,Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,Plexiform Neurofibroma
syn18468136,C8581ANXX_2_0_2.fastq.gz,NA,273948,PUBLIC,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 1,syn18468136,fastq,NTAP,pNF95.11bC,Cell Culture Initiative,Yes,No,No,Yes,rRNAdepletion,NA,-/-,+/+,bulk cell,nerves,Illumina HiSeq 2500,100,2,inward,reverse,experimentalData,pairedEnd,Male,Homo sapiens,pNF95.11bC,Fresh collected,syn4939874,Development of Plexiform Neurofibroma Cellular Assay for High-Throughput Screening,nerve tissue,Plexiform Neurofibroma
