assay,cellType,dataSubtype,dataType,diagnosis,individualID,organ,platform,sex,species,specimenID,tissue,experimentalCondition,experimentalTimePoint,genePerturbationTechnology,genePerturbationType,genePerturbed,modelSystem,timePointUnit,transplantationDonorSpecies,transplantationDonorTissue,transplantationRecipientTissue,transplantationType,compoundDoseUnit,compoundName,drugScreenType,secondCompoundName,consortium,fileFormat,fundingAgency,resourceType,libraryPrep,readLength,readPairOrientation,readStrandOrigin,runType,nf1Genotype,nf2Genotype,study,id,name,createdOn,createdBy,etag,type,currentVersion,parentId,benefactorId,projectId,modifiedOn,modifiedBy,dataFileHandleId,studyId,studyName,readPair,tumorType,path
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7225634,NF_Set1_0025_01Aug2015.RAW,1473712009713,3345394,90389f26-e3af-45b8-a60e-21268a1f0cc6,file,1,syn7225549,syn4984617,syn4984604,1651536233843,3434950,13121427,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set1_0025_01Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7225635,NF_Set1_0050_01Aug2015.RAW,1473712065961,3345394,24a60731-3a35-423c-a4e8-72796c411def,file,1,syn7225549,syn4984617,syn4984604,1651536234053,3434950,13121429,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set1_0050_01Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7225636,NF_Set1_0075_01Aug2015.RAW,1473712115727,3345394,eab3e3e9-aa9a-4c99-9c7c-162e7eb2d48d,file,1,syn7225549,syn4984617,syn4984604,1651536234269,3434950,13121430,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set1_0075_01Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7225654,NF_Set1_0100_01Aug2015.RAW,1473712167474,3345394,9684a6d1-b825-472f-9e0e-b853c93c6925,file,1,syn7225549,syn4984617,syn4984604,1651536234495,3434950,13121440,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set1_0100_01Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7225666,NF_Set1_0150_01Aug2015.RAW,1473712217378,3345394,6eeb4416-01c7-4ab0-b20e-4d9fd77498f4,file,1,syn7225549,syn4984617,syn4984604,1651536234698,3434950,13121449,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set1_0150_01Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7225671,NF_Set1_0200_01Aug2015.RAW,1473712263237,3345394,e4464f58-3797-427e-90e7-ffd2aee03a74,file,1,syn7225549,syn4984617,syn4984604,1651536234919,3434950,13121465,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set1_0200_01Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7225672,NF_Set1_0250_01Aug2015.RAW,1473712314242,3345394,43aa34aa-726f-40f2-8f4f-fa092908b8a1,file,1,syn7225549,syn4984617,syn4984604,1651536235137,3434950,13121471,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set1_0250_01Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7225679,NF_Set1_0300_01Aug2015.RAW,1473712393094,3345394,6215f80a-f8ee-43d0-8175-890d7d7749fb,file,1,syn7225549,syn4984617,syn4984604,1651536235365,3434950,13121483,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set1_0300_01Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7225681,NF_Set1_0500_01Aug2015.RAW,1473712471843,3345394,eeed8db9-8134-4399-afe5-8db3bcc9c4af,file,1,syn7225549,syn4984617,syn4984604,1651536235573,3434950,13121485,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set1_0500_01Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7225682,NF_Set1_0750_01Aug2015.RAW,1473712543923,3345394,7529142d-9fd6-4bbf-bc46-26ad1dd3919a,file,1,syn7225549,syn4984617,syn4984604,1651536235787,3434950,13121486,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set1_0750_01Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7225683,NF_Set1_1000_01Aug2015.RAW,1473712611229,3345394,e499aafb-ddbc-4fc5-8ac0-6426e6d06e2e,file,1,syn7225549,syn4984617,syn4984604,1651536236006,3434950,13121487,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set1_1000_01Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7225685,NF_Set2_0025_03Aug2015.RAW,1473712768742,3345394,64375614-ad1e-490e-9d94-8da329b8edd5,file,1,syn7225549,syn4984617,syn4984604,1651536236219,3434950,13121490,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set2_0025_03Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7225687,NF_Set2_0050_03Aug2015.RAW,1473712834873,3345394,e9fdaa3d-e97c-4a87-b8f7-9346938f288c,file,1,syn7225549,syn4984617,syn4984604,1651536236471,3434950,13121493,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set2_0050_03Aug2015.RAW
