id,name,projectId,assay,dataSubtype,dataType,diagnosis,fileFormat,fundingAgency,individualID,nf1Genotype,nf2Genotype,species,resourceType,isCellLine,isMultiSpecimen,isMultiIndividual,studyId,studyName,etag,benefactorId,specimenID,sex,age,readPair,createdOn,modifiedOn,parentId,createdBy,accessType,accessTeam,cellType,modelOf,compoundName,experimentalCondition,modelSystemName,isXenograft,transplantationType,tumorType,type,Component,Id,comments,eTag,entityId,initiative,libraryPreparationMethod,libraryStrand,platform,specimenPreparationMethod
syn51199741,Image_749_erbb3sc285.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,821b7390-fd43-427f-9235-8426babcb610,syn22267330,NA,NA,NA,NA,1678888059406,1732652706448,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,0e3e5968-3ec5-44ad-9ba2-5dc5f1adbfa8,NA,NA,syn51199741,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199742,Image_750_Neg.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,49e9dac9-c48e-4be1-8a8d-686c2c8e957d,syn22267330,NA,NA,NA,NA,1678888060873,1732652702405,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,3c00775d-fb59-491b-b747-18117ffe8a72,NA,NA,syn51199742,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199743,Image_748_erbb3sc81455.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,5c0eb992-697b-45f9-a6e9-22cdeae500de,syn22267330,NA,NA,NA,NA,1678888062291,1732652704842,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,c6d34ec2-999c-484d-beb3-28c207d0b519,NA,NA,syn51199743,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199744,Image_746_erbb3sc285.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,cc9c8a3a-407d-4f6f-baba-b426d95de4f9,syn22267330,NA,NA,NA,NA,1678888081948,1732652702849,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,1f3ac543-8533-423b-8b2d-34469164cc78,NA,NA,syn51199744,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199745,Image_747_Neg.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,17ee74a0-b439-4b85-afa4-8cd04e16c402,syn22267330,NA,NA,NA,NA,1678888083417,1732652703164,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,3f583071-8c71-42a6-804a-0d120fb220e5,NA,NA,syn51199745,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199746,Image_745_erbb3sc81455.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,14c42911-73bd-4eba-bfeb-9e41e3ec45fb,syn22267330,NA,NA,NA,NA,1678888085020,1732652702654,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,2c320282-4ba8-454f-b466-f662a577ffc7,NA,NA,syn51199746,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199747,Image_735_erbb3sc285.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,21119526-ad5c-4506-a60b-6e05d712dad8,syn22267330,NA,NA,NA,NA,1678888107045,1732652703852,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,4f459064-7925-471d-a25b-be72d9310600,NA,NA,syn51199747,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199748,Image_736_Neg.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,bd320dc4-3e67-4635-9bec-de4774f6977f,syn22267330,NA,NA,NA,NA,1678888108918,1732652702454,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,ed86a7b4-0336-4a30-8300-1dcf3b23471b,NA,NA,syn51199748,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199749,Image_734_erbb3sc81455.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,6c8bda2b-2372-4701-9262-649661b62799,syn22267330,NA,NA,NA,NA,1678888110649,1732652703787,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,dc6cb86b-d782-4df4-99cd-c61076c94609,NA,NA,syn51199749,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199750,Image_792_Neg.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,53c892d3-bfbe-4d0f-885f-a6203c41d589,syn22267330,NA,NA,NA,NA,1678888124177,1732652702881,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,532207d0-c5f2-4ae2-a574-d7d26f528938,NA,NA,syn51199750,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199751,Image_793.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,f645df48-8d1e-48a9-aa75-458c95f48321,syn22267330,NA,NA,NA,NA,1678888125756,1732652704934,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,264814e3-a39f-4a5e-89e3-9591d266366f,NA,NA,syn51199751,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199752,Image_794.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,d7baed98-3ca1-4a19-9dc7-e2278c46f506,syn22267330,NA,NA,NA,NA,1678888127407,1732652703596,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,bbc3ef45-dcd2-42d2-b2bf-017bc5e6fedf,NA,NA,syn51199752,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199753,Image_795.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,2958a30c-d94a-4ac9-af90-5827f9ce5aa2,syn22267330,NA,NA,NA,NA,1678888129255,1732652702502,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,a5817b02-f7b4-4dc5-bb4e-753b3a1ac1bf,NA,NA,syn51199753,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199754,Image_795_scale.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,0d6a9d95-b0c4-4c20-9672-d3cc3412f299,syn22267330,NA,NA,NA,NA,1678888130830,1732652704855,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,f9bea8ac-39f9-4adc-994d-d749779efa83,NA,NA,syn51199754,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199755,Image_785_erbb3sc81455.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,0069d30b-523f-4d81-b6ff-78a19a9476c8,syn22267330,NA,NA,NA,NA,1678888132496,1732652702560,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,5d0d6c4e-a2b5-44f3-b07c-8ff365e569a9,NA,NA,syn51199755,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199756,Image_786.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,be1bcee7-2d09-4e4b-9e5a-a20745ff0087,syn22267330,NA,NA,NA,NA,1678888134048,1732652702581,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,2b49c020-6ae2-4c28-ba01-8e89ebf022cd,NA,NA,syn51199756,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199757,Image_787.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,ba32df89-619e-47a2-9f25-09c87242be5e,syn22267330,NA,NA,NA,NA,1678888135816,1732652704958,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,067f9b8a-f52b-4253-88b1-d3d7ce4efed6,NA,NA,syn51199757,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199758,Image_788_erbb3sc285.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,f4006c81-79b1-4724-bc79-becb9dca6314,syn22267330,NA,NA,NA,NA,1678888137342,1732652705164,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,4a97c398-f6ab-4ced-8c6b-541bb68f4770,NA,NA,syn51199758,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199759,Image_789.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,5260030c-e819-455a-a37e-7090336a624b,syn22267330,NA,NA,NA,NA,1678888138911,1732652702747,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,00f3ad84-57e6-489e-b8e0-3ae2e0c8c0cf,NA,NA,syn51199759,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199760,Image_790.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,c62244fd-0818-4e59-8b25-d48c51001cb2,syn22267330,NA,NA,NA,NA,1678888140785,1732652702923,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,cdca56e9-a16e-4533-b0e8-cdf835289616,NA,NA,syn51199760,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199761,Image_791.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,9d55182f-f160-48b8-b8b9-81c0b4aeba37,syn22267330,NA,NA,NA,NA,1678888142584,1732652703561,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,2a100aef-3e0c-4fb8-b42a-a995f4298e91,NA,NA,syn51199761,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199766,Image_768.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,a4f6fdec-c7be-45e2-9372-5296d8c816be,syn22267330,NA,NA,NA,NA,1678888160403,1732652702722,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,6c225d0e-cbc1-430b-94c1-b6556c1580ec,NA,NA,syn51199766,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199767,Image_769.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,6c813b37-1913-4fd6-bf9f-8b9151b58b7d,syn22267330,NA,NA,NA,NA,1678888161791,1732652702529,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,fc296161-b4b7-4856-95a3-2a3961b91569,NA,NA,syn51199767,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199768,Image_770.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,ca05547d-aa57-422c-ac88-1faee9a196d4,syn22267330,NA,NA,NA,NA,1678888163308,1732652706361,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,047d319a-4ce5-4151-81ac-5073aada6398,NA,NA,syn51199768,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199769,Image_771_Neg.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,1cf76369-93c5-49c4-8136-297bdec1d31c,syn22267330,NA,NA,NA,NA,1678888164736,1732652702874,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,c5cc93ab-dc60-4540-8a4b-a6e4baaf991e,NA,NA,syn51199769,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199770,Image_772.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,5d52ab5f-2951-4064-8870-5e6746dd3c5b,syn22267330,NA,NA,NA,NA,1678888166321,1732652702539,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,2241fac7-5e37-42d9-a16f-a36a5ca8181f,NA,NA,syn51199770,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199771,Image_763_erbb3sc81455.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,c250d252-95b7-4a1b-a2b0-adb65ff47601,syn22267330,NA,NA,NA,NA,1678888167884,1732652705482,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,a0884051-89d8-457f-9595-6d0ea25ea487,NA,NA,syn51199771,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199772,Image_764.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,0b163c30-d23e-43ef-8f04-76c97cd244bb,syn22267330,NA,NA,NA,NA,1678888169415,1732652704976,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,e606e72d-f60f-411d-93eb-ebb266db394c,NA,NA,syn51199772,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199773,Image_765.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,eaa8100e-750b-404b-bc75-bb6d2a8593b0,syn22267330,NA,NA,NA,NA,1678888171017,1732652706536,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,861ce412-74e5-42f4-bf84-ed842dd6f32c,NA,NA,syn51199773,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199774,Image_766.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,5a96200a-7b53-4f6d-a776-af58fe174733,syn22267330,NA,NA,NA,NA,1678888172646,1732652707426,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,7988e76a-b6c1-47e1-bcc0-1b6fd5060da2,NA,NA,syn51199774,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199775,Image_767_erbb3sc295.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,d5df32bc-199f-4462-9365-2aadb4e916ee,syn22267330,NA,NA,NA,NA,1678888174235,1732652707285,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,c1f9bb66-5c95-45ef-907f-76d24b984f47,NA,NA,syn51199775,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199777,Image_743_erbb3sc285.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,ca28df45-41e3-4524-a912-d955e6a9ac51,syn22267330,NA,NA,NA,NA,1678888191096,1732652704806,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,81537837-523c-4b60-b9ff-fabd5b67e695,NA,NA,syn51199777,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199778,Image_744_Neg.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,01da95ec-791f-4569-a703-dbac9a7fb2e0,syn22267330,NA,NA,NA,NA,1678888192866,1732652704610,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,d2dcaeec-38a9-4c04-a12d-ee7ec8c16408,NA,NA,syn51199778,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199779,Image_741_erbb3sc81455.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,621e7630-c631-4111-b123-1f0d38137fa1,syn22267330,NA,NA,NA,NA,1678888194770,1732652703995,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,4a5ff1f8-639c-4c09-84b4-4b93f536a6c0,NA,NA,syn51199779,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199780,Image_742_erbb3sc81455.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,4eaf39f8-bfde-43fc-93e3-66ae742ceddf,syn22267330,NA,NA,NA,NA,1678888196303,1732652705782,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,7f38488f-42ca-4a48-8770-fd7df2043f30,NA,NA,syn51199780,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199797,Image_780.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,7fb30460-db40-423a-b5e7-c73ca39f92ba,syn22267330,NA,NA,NA,NA,1678888338146,1732652705209,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,29423d70-6c92-4616-9d8c-f3168189a7b4,NA,NA,syn51199797,Young Investigator Award,NA,NA,Zeiss LSM,NA
syn51199798,Image_781_Neg.tif,syn22267330,immunocytochemistry,representative,image,Not Applicable,tif,CTF,Not applicable/Cell line,NA,NA,Homo sapiens,result,NA,NA,NA,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,2956d504-a811-4411-90fe-9634b6846e3a,syn22267330,NA,NA,NA,NA,1678888339855,1732652703140,syn51196515,3410863,NA,NA,NA,NA,NA,NA,NA,NA,NA,,file,ImagingAssayTemplate,0f4cb5f9-cf52-4dac-b790-93731aeee121,NA,NA,syn51199798,Young Investigator Award,NA,NA,Zeiss LSM,NA
