id,name,assay,parentId,benefactorId,projectId,individualID,specimenID,nf1Genotype,age_months,cellType,consortium,dataSubtype,dataType,diagnosis,fileFormat,fundingAgency,isCellLine,nf2Genotype,organ,sex,species,study,tissue,disease,drugScreenType,fileType,isPrimaryCell,sampleIdentifier,timePointUnit,tissueType,analysisType,resourceType,differentialExpressionMethod,studyId,tumorType,Component,Uuid,accessTeam,accessType,averageBaseQuality,averageInsertSize,averageReadLength,eTag,entityId,expressionUnit,genomicReference,initiative,isStranded,libraryPreparationMethod,libraryStrand,pairsOnDifferentChr,platform,progressReportNumber,readsDuplicatedPercent,readsMappedPercent,reportMilestone,specimenPreparationMethod,studyName,totalReads,workflow,workflowLink,description,createdOn,createdBy,etag,modifiedOn,modifiedBy,path,type,currentVersion,dataFileHandleId,dataFileName,dataFileSizeBytes,dataFileMD5Hex,dataFileConcreteType,dataFileBucket,dataFileKey
syn20380615,202915420028_R07C01_Grn.idat,methylation array,syn20380612,syn20380009,syn4939918,NA,NA,NA,NA,NA,NA,raw,chromatinActivity,Neurofibromatosis type 1,idat,NTAP,Yes,+/+,NA,NA,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimentalData,NA,syn4939918,,NA,NA,3396402,REQUEST ACCESS,NA,NA,NA,NA,syn20380615,NA,NA,Open Proposal Program,NA,NA,NA,NA,NA,0,NA,NA,0,NA,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,NA,NA,NA,NA,1562246888207,3337130,1ec3290a-76e7-4eca-9ad4-fce20c038067,1679362725673,3421893,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage/Raw Data/MethylationArray/EPIC_05_ESerra_180924/202915420028_R07C01_Grn.idat,file,1,41213696,202915420028_R07C01_Grn.idat,13676231,8271338ef1447228bd21c21a3bb0d33c,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3337130/5f077592-f0ff-4f0b-bf38-fb3c89ba7b8e/202915420028_R07C01_Grn.idat
syn20380618,202908420087_R05C01_Grn.idat,methylation array,syn20380612,syn20380009,syn4939918,NA,NA,NA,NA,NA,NA,raw,chromatinActivity,Neurofibromatosis type 1,idat,NTAP,Yes,+/+,NA,NA,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimentalData,NA,syn4939918,,NA,NA,3396402,REQUEST ACCESS,NA,NA,NA,NA,syn20380618,NA,NA,Open Proposal Program,NA,NA,NA,NA,NA,0,NA,NA,0,NA,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,NA,NA,NA,NA,1562246898367,3337130,a6ad1152-f7d4-4011-9825-b526b5969a0e,1679362725720,3421893,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage/Raw Data/MethylationArray/EPIC_05_ESerra_180924/202908420087_R05C01_Grn.idat,file,1,41213702,202908420087_R05C01_Grn.idat,13676231,a0e823dce450d25e2e6d461250339242,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3337130/fbbbf55b-b513-4b4a-be57-3be48eceaf62/202908420087_R05C01_Grn.idat
syn20380621,202915420028_R01C01_Red.idat,methylation array,syn20380612,syn20380009,syn4939918,NA,NA,NA,NA,NA,NA,raw,chromatinActivity,Neurofibromatosis type 1,idat,NTAP,Yes,+/+,NA,NA,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimentalData,NA,syn4939918,,NA,NA,3396402,REQUEST ACCESS,NA,NA,NA,NA,syn20380621,NA,NA,Open Proposal Program,NA,NA,NA,NA,NA,0,NA,NA,0,NA,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,NA,NA,NA,NA,1562246908094,3337130,a1ddb012-6c9b-4758-b961-96d27cbcca4c,1679362725765,3421893,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage/Raw Data/MethylationArray/EPIC_05_ESerra_180924/202915420028_R01C01_Red.idat,file,1,41213705,202915420028_R01C01_Red.idat,13676231,ce29a3c5f2206ca58d34205852967c9b,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3337130/e3a1bc7c-b323-48f5-8a11-9a46c23810a2/202915420028_R01C01_Red.idat
syn20380624,202908420087_R04C01_Grn.idat,methylation array,syn20380612,syn20380009,syn4939918,NA,NA,NA,NA,NA,NA,raw,chromatinActivity,Neurofibromatosis type 1,idat,NTAP,Yes,+/+,NA,NA,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimentalData,NA,syn4939918,,NA,NA,3396402,REQUEST ACCESS,NA,NA,NA,NA,syn20380624,NA,NA,Open Proposal Program,NA,NA,NA,NA,NA,0,NA,NA,0,NA,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,NA,NA,NA,NA,1562246917224,3337130,e197754c-51b5-41bb-888a-c27660d79b9b,1679362725811,3421893,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage/Raw Data/MethylationArray/EPIC_05_ESerra_180924/202908420087_R04C01_Grn.idat,file,1,41213709,202908420087_R04C01_Grn.idat,13676231,ed9e5517dffb90b1526da41645898b6c,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3337130/dc2970cc-3d5e-46fe-9361-0b843368234a/202908420087_R04C01_Grn.idat
syn20380628,202908540037_R04C01_Grn.idat,methylation array,syn20380612,syn20380009,syn4939918,NA,NA,NA,NA,NA,NA,raw,chromatinActivity,Neurofibromatosis type 1,idat,NTAP,Yes,+/+,NA,NA,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimentalData,NA,syn4939918,,NA,NA,3396402,REQUEST ACCESS,NA,NA,NA,NA,syn20380628,NA,NA,Open Proposal Program,NA,NA,NA,NA,NA,0,NA,NA,0,NA,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,NA,NA,NA,NA,1562246928787,3337130,5facafc0-e19d-492d-83b5-b968ab8a2432,1679362725855,3421893,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage/Raw Data/MethylationArray/EPIC_05_ESerra_180924/202908540037_R04C01_Grn.idat,file,1,41213713,202908540037_R04C01_Grn.idat,13676232,a9de2e86d51167bda10cf70224798657,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3337130/5d2e4a32-7cf1-4209-a97d-e3743178a778/202908540037_R04C01_Grn.idat
syn20380631,202908430125_R06C01_Red.idat,methylation array,syn20380612,syn20380009,syn4939918,NA,NA,NA,NA,NA,NA,raw,chromatinActivity,Neurofibromatosis type 1,idat,NTAP,Yes,+/+,NA,NA,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimentalData,NA,syn4939918,,NA,NA,3396402,REQUEST ACCESS,NA,NA,NA,NA,syn20380631,NA,NA,Open Proposal Program,NA,NA,NA,NA,NA,0,NA,NA,0,NA,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,NA,NA,NA,NA,1562246938972,3337130,7d281039-e8c9-4836-a20f-6b372f73949f,1679362725899,3421893,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage/Raw Data/MethylationArray/EPIC_05_ESerra_180924/202908430125_R06C01_Red.idat,file,1,41213718,202908430125_R06C01_Red.idat,13676236,a0c53c416212813118ca8fef6de458a9,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3337130/31451e43-7fed-4974-9297-c911850af074/202908430125_R06C01_Red.idat
syn20380634,202908540037_R05C01_Grn.idat,methylation array,syn20380612,syn20380009,syn4939918,NA,NA,NA,NA,NA,NA,raw,chromatinActivity,Neurofibromatosis type 1,idat,NTAP,Yes,+/+,NA,NA,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimentalData,NA,syn4939918,,NA,NA,3396402,REQUEST ACCESS,NA,NA,NA,NA,syn20380634,NA,NA,Open Proposal Program,NA,NA,NA,NA,NA,0,NA,NA,0,NA,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,NA,NA,NA,NA,1562246949474,3337130,570bfc1c-1a4e-447f-8c69-f567b10984ed,1679362725944,3421893,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage/Raw Data/MethylationArray/EPIC_05_ESerra_180924/202908540037_R05C01_Grn.idat,file,1,41213721,202908540037_R05C01_Grn.idat,13676231,2ea9ace4175885e77b7511bb64989c3d,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3337130/2bc14b07-1f04-4481-be8d-4d82d4be5081/202908540037_R05C01_Grn.idat
syn20380637,202908430125_R03C01_Grn.idat,methylation array,syn20380612,syn20380009,syn4939918,NA,NA,NA,NA,NA,NA,raw,chromatinActivity,Neurofibromatosis type 1,idat,NTAP,Yes,+/+,NA,NA,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimentalData,NA,syn4939918,,NA,NA,3396402,REQUEST ACCESS,NA,NA,NA,NA,syn20380637,NA,NA,Open Proposal Program,NA,NA,NA,NA,NA,0,NA,NA,0,NA,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,NA,NA,NA,NA,1562246959623,3337130,76c30ba5-ff77-4545-9fad-4633a3667bcc,1679362725987,3421893,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage/Raw Data/MethylationArray/EPIC_05_ESerra_180924/202908430125_R03C01_Grn.idat,file,1,41213725,202908430125_R03C01_Grn.idat,13676236,def7b387da7b0bf8cbc20d3435f665ef,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3337130/de97aa16-d3ed-48a2-806a-b5da3c7e6e5c/202908430125_R03C01_Grn.idat
syn20380641,202908430050_R01C01_Red.idat,methylation array,syn20380612,syn20380009,syn4939918,NA,NA,NA,NA,NA,NA,raw,chromatinActivity,Neurofibromatosis type 1,idat,NTAP,Yes,+/+,NA,NA,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimentalData,NA,syn4939918,,NA,NA,3396402,REQUEST ACCESS,NA,NA,NA,NA,syn20380641,NA,NA,Open Proposal Program,NA,NA,NA,NA,NA,0,NA,NA,0,NA,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,NA,NA,NA,NA,1562246969159,3337130,0047d082-6afc-4cc9-8b58-1c622e79263c,1679362726030,3421893,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage/Raw Data/MethylationArray/EPIC_05_ESerra_180924/202908430050_R01C01_Red.idat,file,1,41213730,202908430050_R01C01_Red.idat,13676236,f3d978fbef03abf35d6d86bdb25e9c51,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3337130/241819ec-56ce-4fe7-8879-e4956cb8b8be/202908430050_R01C01_Red.idat
syn20380644,202908430050_R02C01_Grn.idat,methylation array,syn20380612,syn20380009,syn4939918,NA,NA,NA,NA,NA,NA,raw,chromatinActivity,Neurofibromatosis type 1,idat,NTAP,Yes,+/+,NA,NA,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimentalData,NA,syn4939918,,NA,NA,3396402,REQUEST ACCESS,NA,NA,NA,NA,syn20380644,NA,NA,Open Proposal Program,NA,NA,NA,NA,NA,0,NA,NA,0,NA,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,NA,NA,NA,NA,1562246979476,3337130,2ea77a33-d613-49e6-9b18-9671ea6bfa87,1679362726073,3421893,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage/Raw Data/MethylationArray/EPIC_05_ESerra_180924/202908430050_R02C01_Grn.idat,file,1,41213737,202908430050_R02C01_Grn.idat,13676236,7a6170c5ab2a354026abfdbb5f742c4a,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3337130/fcee7a7b-17c4-4b9d-a8cd-808786fc7aea/202908430050_R02C01_Grn.idat
