name,assay,cellType,dataSubtype,dataType,diagnosis,individualID,individualIdSource,nf1Genotype,nf2Genotype,isCellLine,isMultiIndividual,isMultiSpecimen,isPrimaryCell,organ,sex,species,specimenID,specimenIdSource,tissue,experimentalCondition,experimentalTimePoint,timePointUnit,genePerturbationTechnology,genePerturbationType,genePerturbed,compoundDose,compoundDoseUnit,compoundDoseRange,compoundName,drugScreenType,secondCompoundName,fileFormat,resourceType,analysisType,isStranded,libraryPrep,readLength,readPairOrientation,readStrandOrigin,multipleTestingAdjustmentMethod,differentialExpressionMethod,alignmentMethod,runType,platform,transcriptQuantificationMethod,dataFileHandleId,chemicalStructure,structureType,studyId,studyName,createdOn,readPair,id,modelSystemName,createdBy,etag,type,currentVersion,parentId,benefactorId,projectId,modifiedOn,modifiedBy,tumorType,dataFileBucket,description,dataFileSizeBytes
HS01_10.1.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_10,NA,NA,Brigatinib,24,hours,RNAi,knockdown,NF2,NA,NA,NA,Brigatinib,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33370805,NA,NA,syn2343195,Synodos NF2,1539296327045,1,syn17009196,HS01,3322106,7abc72b7-55c7-4f5a-9ec1-fa9273a0ef8a,file,1,syn18456448,syn2343195,syn2343195,1679362942490,3421893,,proddata.sagebase.org,NA,2761229591
HS01_10.2.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_10,NA,NA,Brigatinib,24,hours,RNAi,knockdown,NF2,NA,NA,NA,Brigatinib,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33370887,NA,NA,syn2343195,Synodos NF2,1539297004783,2,syn17009204,HS01,3322106,9ff91f38-018c-4e9f-9a70-2b2326c74460,file,1,syn18456448,syn2343195,syn2343195,1679362942549,3421893,,proddata.sagebase.org,NA,2761266028
HS01_11.1.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_11,NA,NA,"Dasatinib,Simvastatin",24,hours,RNAi,knockdown,NF2,NA,NA,NA,"Dasatinib,Simvastatin",NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33370907,NA,NA,syn2343195,Synodos NF2,1539297554032,1,syn17009208,HS01,3322106,2b3a1198-56b7-464c-b587-18ad54b39412,file,1,syn18456448,syn2343195,syn2343195,1679362942601,3421893,,proddata.sagebase.org,NA,2488709502
HS01_11.2.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_11,NA,NA,"Dasatinib,Simvastatin",24,hours,RNAi,knockdown,NF2,NA,NA,NA,"Dasatinib,Simvastatin",NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33370929,NA,NA,syn2343195,Synodos NF2,1539298040142,2,syn17009210,HS01,3322106,147f2581-14b4-4d34-89e1-e57d71d45bdb,file,1,syn18456448,syn2343195,syn2343195,1679362942674,3421893,,proddata.sagebase.org,NA,2468545114
HS01_1.1.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_1,NA,NA,DMSO,24,hours,RNAi,knockdown,NF2,NA,NA,NA,DMSO,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33370938,NA,NA,syn2343195,Synodos NF2,1539298357007,1,syn17009211,HS01,3322106,61bb4743-87e6-47f3-8b08-6aebdec08407,file,1,syn18456448,syn2343195,syn2343195,1679362942725,3421893,,proddata.sagebase.org,NA,1572884900
HS01_12.1.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_12,NA,NA,"Dasatinib,Brigatinib",24,hours,RNAi,knockdown,NF2,NA,NA,NA,"Dasatinib,Brigatinib",NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33370941,NA,NA,syn2343195,Synodos NF2,1539298738752,2,syn17009213,HS01,3322106,2f6e6ecd-2ad5-4f39-b739-82660082afea,file,1,syn18456448,syn2343195,syn2343195,1679362942781,3421893,,proddata.sagebase.org,NA,1896654049
HS01_12.2.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_12,NA,NA,"Dasatinib,Brigatinib",24,hours,RNAi,knockdown,NF2,NA,NA,NA,"Dasatinib,Brigatinib",NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33370953,NA,NA,syn2343195,Synodos NF2,1539299149634,1,syn17009214,HS01,3322106,e99aab46-de88-49c1-890c-76b3811a4d0e,file,1,syn18456448,syn2343195,syn2343195,1679362942839,3421893,,proddata.sagebase.org,NA,1847381740
HS01_1.2.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_1,NA,NA,DMSO,24,hours,RNAi,knockdown,NF2,NA,NA,NA,DMSO,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33370960,NA,NA,syn2343195,Synodos NF2,1539299496921,2,syn17009215,HS01,3322106,80b0a55b-db4b-4477-ac65-9d0e31e983f9,file,1,syn18456448,syn2343195,syn2343195,1679362942892,3421893,,proddata.sagebase.org,NA,1540904151
HS01_13.1.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_13,NA,NA,DMSO,24,hours,RNAi,knockdown,NF2,NA,NA,NA,DMSO,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33370985,NA,NA,syn2343195,Synodos NF2,1539300325547,1,syn17009218,HS01,3322106,40b19cf3-0493-4721-8c8b-2de756a50855,file,1,syn18456448,syn2343195,syn2343195,1679362942944,3421893,,proddata.sagebase.org,NA,4092893884
HS01_13.2.fastq.gz,RNA-seq,schwann,raw,geneExpression,Neurofibromatosis type 2,HS01,NA,unknown,+/+,Yes,No,No,TRUE,NA,NA,Homo sapiens,HS01_13,NA,NA,DMSO,24,hours,RNAi,knockdown,NF2,NA,NA,NA,DMSO,NA,NA,fastq,experimentalData,NA,Yes,polyAselection,NA,NA,NA,NA,NA,NA,pairedEnd,Illumina HiSeq 2500,NA,33370999,NA,NA,syn2343195,Synodos NF2,1539301170637,2,syn17009219,HS01,3322106,e6659dc3-95fa-40f3-b53c-4f8b62df662f,file,1,syn18456448,syn2343195,syn2343195,1679362943002,3421893,,proddata.sagebase.org,NA,4081748912
