id,name,currentVersion,dataFileHandleId,dataFileName,dataFileSizeBytes,dataFileMD5Hex,BiospecimenKey,DataUseCodes,DatasetViewKey,EntityId,FileAlias,FileAssay,FileDescription,FileDesign,FileFormat,FileLevel,FileSpecies,FileTissue,FileTumorType,FileUrl,FileViewId,StudyKey,FileDataUseCodes,FileLongitudinalEventType,FileLongitudinalGroup,FileLongitudinalSequenceIdentifier,FileLongitudinalSequentialTimeElapsed,FileLongitudinalTimeElapsedUnit,FileLongitudinalTotalTimeElapsed
syn60245342,collection_0000064644_2021-01-08 22_07_48.scn,1,142024897,collection_0000064644_2021-01-08 22_07_48.scn,977005654,ee4b6a2aa42b901f797e35df581e1c59,CA263001-B338,NA,syn63100169,syn60245342,syn60245342,Hematoxylin and Eosin Staining Method,"Whole slide scan at 40x magnification of a brain tissue section from a male mouse, genotype Nod/Scid/Il2gR null, with a 12273BM human cell line xenograft",NA,SCN,Level 2,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245342,syn60245342,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245360,collection_0000064565_2021-01-08_15_00_13.csv,1,142025006,collection_0000064565_2021-01-08_15_00_13.csv,4589,3a416fdc3b310e203169a6b4d2a31e0f,CA263001-B321,NA,syn63100169,syn60245360,syn60245360,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245360,syn60245360,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245361,collection_0000064557_2021-01-06_18_08_41.csv,1,142025010,collection_0000064557_2021-01-06_18_08_41.csv,14980,726aff8d7ddecdc9ecd7f5c01a02da68,CA263001-B277,NA,syn63100169,syn60245361,syn60245361,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245361,syn60245361,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245362,collection_0000064553_2021-01-06_17_40_09.csv,1,142025008,collection_0000064553_2021-01-06_17_40_09.csv,21720,c555292ed1708a2433750d62661abecc,CA263001-B269,NA,syn63100169,syn60245362,syn60245362,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245362,syn60245362,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245363,collection_0000064567_2021-01-08_14_57_09.csv,1,142025013,collection_0000064567_2021-01-08_14_57_09.csv,8933,4d7f19b3d1aadca2e074ddf30d685184,CA263001-B285,NA,syn63100169,syn60245363,syn60245363,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245363,syn60245363,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245364,collection_0000064548_2021-01-06_16_52_13.csv,1,142025011,collection_0000064548_2021-01-06_16_52_13.csv,31370,600fc461a8f04ae9338801f6d2fcce53,CA263001-B249,NA,syn63100169,syn60245364,syn60245364,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245364,syn60245364,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245365,collection_0000064555_2021-01-06_17_55_20.csv,1,142025012,collection_0000064555_2021-01-06_17_55_20.csv,10955,71ede2335e8483d7293626bb48590f00,CA263001-B237,NA,syn63100169,syn60245365,syn60245365,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245365,syn60245365,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245366,collection_0000064569_2021-01-06_20_00_48.csv,1,142025014,collection_0000064569_2021-01-06_20_00_48.csv,29812,270b21b8339f751da2ab8f608c1c5c58,CA263001-B325,NA,syn63100169,syn60245366,syn60245366,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245366,syn60245366,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245367,collection_0000064563_2021-01-06_19_02_48.csv,1,142025015,collection_0000064563_2021-01-06_19_02_48.csv,4746,07f3b1c4d7cd189538d9a250e7ec46a7,CA263001-B313,NA,syn63100169,syn60245367,syn60245367,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245367,syn60245367,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60245368,collection_0000064559_2021-01-06_18_25_41.csv,1,142025017,collection_0000064559_2021-01-06_18_25_41.csv,5104,95b9d4c54e951472176cfb0aadea27b0,CA263001-B297,NA,syn63100169,syn60245368,syn60245368,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Brain,Melanoma,https://www.synapse.org/Synapse:syn60245368,syn60245368,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
